term	arousal	dominance	valence
maximum	0.724	0.852	0.724
may	0.273	0.245	0.704
mayday	0.643	0.423	0.344
mayflower	0.463	0.429	0.69
mayhem	0.87	0.364	0.188
mayonnaise	0.32	0.222	0.51
mayor	0.481	0.818	0.469
maze	0.608	0.444	0.438
mead	0.337	0.441	0.667
meadow	0.13	0.382	0.622
meager	0.389	0.281	0.144
meal	0.461	0.473	0.833
mean	0.467	0.62	0.44
meander	0.443	0.454	0.48
meandering	0.644	0.539	0.427
meanie	0.42	0.404	0.388
meaning	0.395	0.625	0.663
meaningful	0.5	0.802	0.77
meaningless	0.314	0.143	0.156
meanness	0.694	0.368	0.102
means	0.373	0.46	0.615
meantime	0.222	0.3	0.432
measles	0.635	0.422	0.092
measurable	0.41	0.602	0.604
measure	0.375	0.365	0.51
measured	0.265	0.578	0.542
measurement	0.418	0.491	0.622
measuring	0.337	0.529	0.448
measuring cup	0.343	0.377	0.557
measuring tape	0.28	0.327	0.337
meat	0.421	0.413	0.612
meatball	0.279	0.343	0.612
meathead	0.534	0.49	0.306
meatloaf	0.389	0.375	0.625
mechanic	0.433	0.566	0.571
mechanical	0.569	0.564	0.479
mechanics	0.5	0.761	0.542
mechanism	0.583	0.664	0.573
med	0.429	0.606	0.375
medal	0.555	0.746	0.854
medallion	0.51	0.71	0.75
medallist	0.821	0.897	0.796
meddle	0.77	0.526	0.302
meddling	0.6	0.461	0.245
media	0.33	0.464	0.5
medial	0.34	0.429	0.458
median	0.216	0.375	0.459
mediate	0.308	0.654	0.635
mediation	0.35	0.657	0.661
mediator	0.438	0.58	0.592
medic	0.472	0.585	0.5
medical	0.373	0.616	0.583
medicate	0.375	0.546	0.417
medication	0.439	0.5	0.615
medicinal	0.417	0.614	0.667
medicine	0.318	0.679	0.708
medieval	0.408	0.455	0.56
mediocre	0.481	0.149	0.188
mediocrity	0.398	0.225	0.073
meditate	0.146	0.564	0.812
meditating	0.185	0.399	0.718
meditation	0.12	0.478	0.786
meditative	0.12	0.454	0.614
mediterranean	0.454	0.545	0.663
medium	0.356	0.358	0.559
medley	0.352	0.4	0.487
meek	0.15	0.198	0.531
meet	0.51	0.58	0.76
meeting	0.569	0.613	0.75
mega	0.538	0.723	0.724
meh	0.286	0.365	0.38
melancholic	0.306	0.277	0.181
melancholy	0.26	0.237	0.188
melee	0.704	0.611	0.541
mellow	0.069	0.265	0.633
melodious	0.53	0.587	0.932
melodrama	0.83	0.446	0.378
melodramatic	0.692	0.368	0.235
melody	0.434	0.405	0.847
melon	0.231	0.271	0.461
melt	0.615	0.312	0.448
meltdown	0.657	0.602	0.629
melting	0.47	0.538	0.592
member	0.333	0.555	0.698
membership	0.411	0.778	0.698
membrane	0.43	0.418	0.406
memento	0.36	0.536	0.708
memo	0.235	0.407	0.625
memoir	0.242	0.553	0.75
memorabilia	0.412	0.491	0.78
memorable	0.51	0.769	0.939
memorandum	0.5	0.639	0.6
memorial	0.304	0.6	0.602
memorials	0.333	0.679	0.771
memories	0.487	0.51	0.963
memoriesiwontforget	0.542	0.455	0.635
memorize	0.451	0.716	0.52
memory	0.378	0.573	0.792
menace	0.894	0.759	0.125
menacing	0.88	0.643	0.042
menagerie	0.48	0.538	0.573
mend	0.436	0.602	0.542
mending	0.633	0.657	0.5
menial	0.42	0.352	0.49
meningitis	0.612	0.407	0.104
meniscus	0.33	0.453	0.323
menopause	0.46	0.306	0.204
menses	0.686	0.331	0.163
menstrual	0.519	0.435	0.408
mental	0.49	0.585	0.49
mentalhealth	0.541	0.67	0.562
mentality	0.415	0.726	0.711
menthol	0.292	0.433	0.49
mention	0.365	0.562	0.562
mentor	0.455	0.777	0.719
menu	0.333	0.385	0.633
meow	0.51	0.412	0.51
mercantile	0.49	0.713	0.48
mercenary	0.837	0.673	0.245
merchandise	0.46	0.621	0.594
merchant	0.5	0.62	0.675
merciful	0.346	0.5	0.854
merciless	0.88	0.634	0.062
mercurial	0.546	0.518	0.49
mercury	0.312	0.475	0.337
mercy	0.229	0.5	0.719
mere	0.221	0.176	0.396
merengue	0.519	0.442	0.688
merge	0.48	0.733	0.76
merger	0.49	0.642	0.592
meridian	0.324	0.558	0.51
meridional	0.29	0.6	0.365
meringue	0.58	0.411	0.625
merit	0.5	0.722	0.854
meritorious	0.618	0.855	0.781
mermaid	0.623	0.452	0.765
merriment	0.721	0.632	0.948
merry	0.731	0.764	0.979
merrychristmas	0.51	0.536	0.888
mesa	0.191	0.319	0.604
mescaline	0.58	0.415	0.49
mesh	0.235	0.371	0.429
meshes	0.363	0.362	0.44
mesmerized	0.552	0.421	0.52
mess	0.843	0.273	0.143
message	0.391	0.415	0.65
messedup	0.615	0.358	0.333
messenger	0.434	0.5	0.694
messiah	0.634	0.8	0.781
messy	0.635	0.14	0.26
metabolic	0.531	0.559	0.408
metabolism	0.509	0.555	0.698
metal	0.429	0.547	0.551
metallic	0.33	0.607	0.615
metallurgy	0.509	0.587	0.396
metamorphosis	0.571	0.613	0.541
metaphor	0.28	0.47	0.562
metaphorical	0.412	0.48	0.5
metaphysical	0.573	0.686	0.63
metaphysics	0.396	0.588	0.561
metastasis	0.646	0.452	0.177
meteor	0.714	0.737	0.398
meteoric	0.802	0.684	0.59
meteorite	0.794	0.75	0.385
meteorological	0.557	0.556	0.635
meteorology	0.418	0.689	0.63
meter	0.3	0.463	0.438
meth	0.564	0.34	0.354
methadone	0.54	0.453	0.24
methane	0.46	0.569	0.29
methanol	0.5	0.57	0.292
method	0.275	0.698	0.64
methodical	0.36	0.745	0.663
methodology	0.327	0.745	0.664
meticulous	0.48	0.555	0.555
metime	0.398	0.417	0.531
metric	0.248	0.573	0.519
metrical	0.375	0.482	0.521
metrology	0.432	0.439	0.531
metropolis	0.625	0.779	0.656
metropolitan	0.408	0.723	0.387
mettle	0.529	0.75	0.667
mew	0.481	0.38	0.418
mezzanine	0.427	0.404	0.479
mica	0.25	0.314	0.531
mick	0.451	0.382	0.449
micro	0.27	0.25	0.5
microbe	0.45	0.34	0.255
microbiology	0.378	0.56	0.571
microchip	0.358	0.432	0.551
microcosm	0.5	0.52	0.5
microfilm	0.352	0.412	0.469
microgram	0.286	0.355	0.448
micrometer	0.358	0.394	0.573
micron	0.291	0.315	0.375
microphone	0.431	0.462	0.551
microscope	0.33	0.464	0.531
microscopic	0.327	0.433	0.36
microscopically	0.37	0.412	0.623
microscopy	0.339	0.455	0.5
microwave	0.497	0.443	0.542
mid	0.315	0.356	0.5
midair	0.413	0.455	0.633
midday	0.25	0.403	0.658
middle	0.157	0.3	0.458
middleman	0.404	0.452	0.5
middleweight	0.302	0.428	0.51
midget	0.295	0.254	0.396
midland	0.402	0.456	0.521
midlife	0.244	0.473	0.594
midline	0.224	0.33	0.332
midnight	0.47	0.545	0.562
midshipman	0.615	0.785	0.469
midst	0.275	0.296	0.324
midsummer	0.48	0.492	0.781
midterm	0.337	0.425	0.427
midtown	0.442	0.538	0.479
midway	0.316	0.304	0.459
midwife	0.57	0.453	0.531
midwifery	0.57	0.459	0.51
mien	0.352	0.447	0.5
miffed	0.726	0.429	0.204
mighty	0.837	0.936	0.855
mignon	0.44	0.423	0.551
migraine	0.783	0.318	0.135
migrate	0.58	0.454	0.415
migration	0.731	0.566	0.492
migratory	0.521	0.491	0.448
mike	0.365	0.423	0.542
mil	0.388	0.347	0.534
mild	0.198	0.216	0.635
mildew	0.25	0.241	0.344
mildness	0.226	0.311	0.827
mile	0.417	0.456	0.521
mileage	0.458	0.562	0.51
milestone	0.373	0.558	0.719
militant	0.667	0.75	0.418
militants	0.673	0.652	0.26
military	0.71	0.875	0.396
militia	0.729	0.769	0.396
milk	0.27	0.327	0.817
milkman	0.38	0.304	0.75
milkshake	0.521	0.33	0.796
milky	0.283	0.311	0.517
mill	0.382	0.347	0.531
millennium	0.398	0.76	0.573
milligram	0.217	0.302	0.429
millimeter	0.177	0.36	0.427
million	0.647	0.812	0.776
millionaire	0.755	0.85	0.917
millionth	0.528	0.611	0.635
millstone	0.433	0.492	0.51
mime	0.235	0.302	0.455
mimic	0.587	0.391	0.557
mimicking	0.433	0.364	0.316
mimicry	0.337	0.472	0.42
mince	0.529	0.378	0.417
mincemeat	0.435	0.358	0.396
mind	0.388	0.627	0.65
minded	0.394	0.627	0.656
mindful	0.45	0.725	0.765
mindfulness	0.635	0.745	0.729
mindless	0.333	0.153	0.184
mine	0.418	0.578	0.688
minefield	0.839	0.684	0.188
miner	0.594	0.644	0.408
mineral	0.287	0.605	0.519
mineralogy	0.408	0.545	0.551
mingle	0.48	0.434	0.561
mingled	0.392	0.357	0.521
mini	0.324	0.221	0.421
miniature	0.292	0.204	0.429
minibus	0.39	0.428	0.439
minim	0.208	0.138	0.518
minimal	0.147	0.206	0.448
minimize	0.236	0.311	0.36
minimized	0.137	0.208	0.458
minimum	0.198	0.194	0.38
mining	0.598	0.554	0.633
minion	0.43	0.167	0.49
minister	0.441	0.892	0.547
ministerial	0.519	0.66	0.571
ministry	0.346	0.717	0.51
minivan	0.356	0.452	0.592
mink	0.515	0.43	0.56
minnow	0.367	0.364	0.541
minor	0.235	0.175	0.25
minority	0.332	0.211	0.31
minstrel	0.541	0.397	0.458
mint	0.221	0.345	0.688
minty	0.292	0.361	0.635
minuscule	0.286	0.214	0.396
minute	0.279	0.356	0.582
minutiae	0.257	0.316	0.323
minx	0.519	0.404	0.448
mir	0.339	0.355	0.417
miracle	0.607	0.806	0.917
miracles	0.735	0.692	0.922
miraculous	0.706	0.812	0.875
mirage	0.487	0.562	0.546
mire	0.376	0.298	0.344
mirror	0.31	0.438	0.677
mirth	0.64	0.608	0.888
misappropriation	0.831	0.5	0.097
misbehave	0.847	0.304	0.02
misbehavior	0.704	0.269	0.031
miscalculation	0.49	0.353	0.177
miscarriage	0.781	0.312	0.042
miscellaneous	0.321	0.196	0.531
miscellany	0.412	0.384	0.5
mischief	0.834	0.292	0.385
mischievous	0.804	0.472	0.439
misconception	0.557	0.291	0.21
misconduct	0.667	0.304	0.061
misdemeanor	0.64	0.364	0.21
misdirection	0.71	0.281	0.131
miser	0.633	0.311	0.208
miserable	0.461	0.188	0.062
miserably	0.545	0.15	0.28
misery	0.378	0.158	0.146
misfire	0.453	0.2	0.153
misfit	0.5	0.393	0.173
misfortune	0.78	0.311	0.094
misguided	0.531	0.259	0.28
mishap	0.654	0.227	0.071
misinformed	0.567	0.25	0.156
misinterpretation	0.556	0.36	0.112
mislead	0.765	0.412	0.167
misleading	0.66	0.272	0.07
misled	0.606	0.353	0.177
mismanagement	0.52	0.295	0.094
mismatch	0.459	0.282	0.25
mismatched	0.557	0.302	0.25
misnomer	0.528	0.284	0.296
misplace	0.461	0.191	0.229
misplaced	0.45	0.324	0.247
misread	0.558	0.315	0.115
misrepresent	0.542	0.418	0.198
misrepresentation	0.618	0.518	0.323
misrepresented	0.519	0.466	0.042
miss	0.49	0.408	0.573
missile	0.83	0.764	0.24
missiles	0.922	0.83	0.07
missing	0.418	0.222	0.306
missingyou	0.471	0.377	0.26
mission	0.633	0.87	0.765
missionary	0.404	0.596	0.729
misspell	0.423	0.281	0.292
misstatement	0.547	0.221	0.302
missy	0.48	0.333	0.521
mist	0.194	0.221	0.375
mistake	0.585	0.102	0.208
mistaken	0.63	0.212	0.131
mister	0.406	0.663	0.604
mistletoe	0.47	0.324	0.542
mistreated	0.792	0.2	0.01
mistress	0.796	0.694	0.63
mistrial	0.539	0.536	0.427
mistrust	0.657	0.231	0.135
misty	0.451	0.278	0.427
misunderstand	0.548	0.382	0.177
misunderstanding	0.618	0.284	0.112
misunderstood	0.625	0.309	0.177
misuse	0.56	0.196	0.083
mite	0.584	0.271	0.29
miter	0.5	0.414	0.458
mitigate	0.427	0.456	0.506
mitigating	0.52	0.6	0.551
mitigation	0.527	0.423	0.448
mitt	0.183	0.264	0.406
mitten	0.33	0.408	0.531
mitzvah	0.61	0.409	0.422
mix	0.49	0.472	0.542
mixed	0.346	0.444	0.51
mixedemotions	0.673	0.43	0.44
mixer	0.5	0.556	0.562
mixture	0.36	0.481	0.546
mnemonic	0.48	0.452	0.531
moan	0.735	0.352	0.357
moat	0.38	0.314	0.398
mob	0.788	0.567	0.296
mobile	0.569	0.481	0.615
mobility	0.596	0.654	0.7
mobilization	0.72	0.787	0.688
mobilize	0.684	0.727	0.604
mobster	0.87	0.638	0.188
mocha	0.396	0.311	0.5
mock	0.606	0.618	0.36
mocked	0.746	0.204	0.225
mockery	0.806	0.181	0.094
mocking	0.755	0.394	0.082
mockingbird	0.337	0.423	0.513
mod	0.367	0.384	0.458
modal	0.264	0.461	0.592
modality	0.404	0.527	0.633
mode	0.185	0.367	0.531
model	0.388	0.723	0.607
modeler	0.51	0.73	0.5
modeling	0.404	0.49	0.684
modem	0.355	0.5	0.573
moderate	0.19	0.453	0.582
moderate anticipation	0.451	0.574	0.667
moderate disgust	0.558	0.381	0.229
moderate negative	0.5	0.306	0.177
moderate positive	0.453	0.753	0.896
moderate surprise	0.663	0.637	0.776
moderate trust	0.35	0.773	0.677
moderately	0.264	0.5	0.604
moderating	0.402	0.783	0.667
moderation	0.24	0.453	0.531
moderator	0.354	0.802	0.519
modern	0.423	0.691	0.855
modernism	0.553	0.703	0.76
modest	0.13	0.412	0.76
modesty	0.24	0.5	0.778
modicum	0.417	0.327	0.234
modifiable	0.422	0.373	0.541
modification	0.52	0.625	0.48
modified	0.458	0.693	0.561
modify	0.584	0.625	0.458
modulate	0.343	0.555	0.673
modulation	0.365	0.565	0.458
module	0.388	0.571	0.582
modulus	0.304	0.481	0.622
mogul	0.652	0.865	0.51
moiety	0.343	0.454	0.378
moist	0.316	0.386	0.47
moisture	0.398	0.327	0.406
moisturizer	0.28	0.386	0.75
molar	0.426	0.35	0.544
molasses	0.269	0.286	0.49
mold	0.274	0.402	0.33
molded	0.361	0.373	0.667
molding	0.308	0.546	0.552
moldy	0.387	0.25	0.235
mole	0.377	0.352	0.436
molecular	0.44	0.536	0.495
molecule	0.259	0.375	0.531
molest	0.816	0.319	0.133
molestation	0.808	0.407	0.102
molester	0.811	0.478	0.143
molten	0.49	0.339	0.417
mom	0.336	0.639	0.927
moment	0.435	0.509	0.604
momentary	0.271	0.33	0.562
momentous	0.587	0.76	0.792
momentum	0.75	0.688	0.663
momma	0.412	0.527	0.833
mommy	0.353	0.422	0.854
monad	0.482	0.451	0.51
monarch	0.559	0.87	0.583
monarchy	0.557	0.87	0.45
monastery	0.183	0.726	0.694
monastic	0.314	0.676	0.438
monetary	0.494	0.716	0.583
money	0.608	0.827	0.844
mongoloid	0.364	0.317	0.177
mongoose	0.38	0.546	0.327
mongrel	0.438	0.395	0.425
monitor	0.298	0.538	0.49
monk	0.208	0.439	0.472
monkey	0.449	0.283	0.548
mono	0.39	0.273	0.5
monochrome	0.292	0.339	0.312
monogamous	0.335	0.402	0.51
monogamy	0.38	0.455	0.542
monogram	0.21	0.425	0.48
monogrammed	0.27	0.402	0.503
monograph	0.242	0.481	0.5
monolayer	0.294	0.433	0.427
monolith	0.327	0.5	0.429
monologue	0.284	0.534	0.5
monopolist	0.59	0.725	0.33
monopoly	0.509	0.64	0.449
monotonous	0.221	0.4	0.354
monotony	0.135	0.353	0.398
monoxide	0.43	0.49	0.433
monsieur	0.34	0.623	0.552
monsoon	0.6	0.481	0.358
monster	0.935	0.596	0.133
monstrosity	0.933	0.611	0.094
monstrous	0.942	0.649	0.094
montage	0.52	0.388	0.438
monte	0.33	0.391	0.589
month	0.255	0.411	0.688
monthly	0.314	0.364	0.622
monument	0.404	0.811	0.833
monumental	0.594	0.955	0.656
moo	0.355	0.3	0.438
mooch	0.413	0.309	0.378
mood	0.5	0.5	0.72
moods	0.633	0.491	0.578
moody	0.811	0.595	0.245
moon	0.233	0.547	0.673
moonbeam	0.29	0.491	0.7
moonlight	0.264	0.409	0.865
moonlit	0.269	0.508	0.873
moonshine	0.389	0.491	0.633
moonstruck	0.438	0.407	0.583
moonwalk	0.586	0.525	0.615
moor	0.464	0.378	0.311
moored	0.5	0.417	0.344
mooring	0.49	0.444	0.323
moorings	0.5	0.516	0.406
moorland	0.37	0.456	0.49
moose	0.373	0.318	0.648
moot	0.5	0.615	0.344
mooted	0.58	0.463	0.388
mop	0.442	0.296	0.396
mope	0.309	0.345	0.406
moped	0.582	0.554	0.582
moral	0.459	0.796	0.7
morale	0.158	0.792	0.729
morality	0.408	0.759	0.75
morals	0.43	0.611	0.646
morass	0.348	0.375	0.387
moratorium	0.427	0.373	0.337
moray	0.402	0.463	0.51
morbid	0.833	0.395	0.09
morbidity	0.63	0.443	0.37
morbidness	0.694	0.339	0.12
mores	0.317	0.684	0.582
morgue	0.539	0.241	0.022
moribund	0.488	0.167	0.083
morn	0.284	0.345	0.542
morning	0.235	0.444	0.688
moron	0.587	0.183	0.133
moronic	0.5	0.224	0.122
morose	0.663	0.264	0.24
morph	0.469	0.451	0.448
morphine	0.49	0.496	0.229
morphism	0.549	0.386	0.398
morphology	0.373	0.639	0.516
morrow	0.314	0.49	0.708
morsel	0.296	0.4	0.49
mortal	0.786	0.51	0.196
mortality	0.726	0.518	0.229
mortar	0.627	0.562	0.333
mortgage	0.408	0.537	0.255
mortgagee	0.633	0.723	0.418
mortgagor	0.522	0.49	0.431
mortician	0.429	0.275	0.104
mortification	0.644	0.404	0.135
mortified	0.731	0.27	0.073
mortuary	0.606	0.427	0.133
mosaic	0.25	0.302	0.635
mosey	0.402	0.33	0.521
mosque	0.352	0.528	0.542
mosquito	0.4	0.198	0.229
moss	0.27	0.245	0.235
mossy	0.329	0.286	0.375
mote	0.388	0.26	0.375
motel	0.372	0.45	0.531
moth	0.35	0.196	0.323
mother	0.408	0.725	0.931
motherfucker	0.827	0.351	0.122
motherfucking	0.823	0.373	0.071
motherhood	0.546	0.667	0.844
motherland	0.375	0.731	0.677
motherless	0.541	0.337	0.163
motherly	0.324	0.71	0.927
motif	0.481	0.527	0.688
motion	0.538	0.657	0.667
motionless	0.21	0.246	0.323
motivate	0.776	0.873	0.812
motivating	0.82	0.787	0.958
motivation	0.784	0.802	0.854
motivational	0.646	0.858	0.906
motive	0.588	0.663	0.667
motley	0.398	0.412	0.48
motor	0.551	0.648	0.531
motorbike	0.608	0.616	0.552
motorboat	0.5	0.39	0.677
motorcade	0.73	0.593	0.708
motorcar	0.565	0.682	0.694
motorcycle	0.764	0.713	0.677
motorist	0.663	0.578	0.562
motte	0.389	0.37	0.481
mottled	0.336	0.295	0.38
motto	0.317	0.439	0.688
mould	0.176	0.246	0.357
mound	0.481	0.509	0.52
mount	0.292	0.348	0.5
mountain	0.408	0.649	0.698
mountaineer	0.774	0.535	0.635
mountainous	0.519	0.612	0.635
mountains	0.433	0.569	0.766
mountaintop	0.541	0.713	0.653
mourn	0.583	0.15	0.056
mournful	0.441	0.188	0.18
mourning	0.49	0.266	0.177
mouse	0.441	0.206	0.427
mousetrap	0.643	0.33	0.18
mousse	0.336	0.368	0.604
moustache	0.236	0.409	0.47
mousy	0.413	0.339	0.48
mouth	0.294	0.336	0.734
mouthful	0.565	0.389	0.609
mouthpiece	0.346	0.393	0.573
mouthwash	0.385	0.352	0.438
movable	0.509	0.5	0.469
move	0.647	0.67	0.656
movement	0.654	0.658	0.656
mover	0.539	0.466	0.615
movie	0.56	0.471	0.792
movies	0.426	0.472	0.724
moving	0.673	0.358	0.479
movingforward	0.518	0.848	0.857
movingon	0.529	0.435	0.49
mow	0.559	0.393	0.42
mower	0.51	0.368	0.458
moxie	0.49	0.366	0.531
mozzarella	0.265	0.34	0.653
mri	0.431	0.349	0.365
muchneeded	0.602	0.455	0.438
mucis	0.418	0.42	0.398
muck	0.423	0.272	0.347
mucked	0.5	0.373	0.184
mucous	0.296	0.293	0.33
mucus	0.309	0.228	0.143
mud	0.26	0.185	0.333
muddle	0.71	0.336	0.184
muddled	0.615	0.263	0.25
muddy	0.4	0.283	0.292
muff	0.335	0.314	0.542
muffin	0.43	0.306	0.684
muffled	0.33	0.421	0.479
muffler	0.407	0.454	0.357
mug	0.214	0.382	0.542
mugger	0.85	0.5	0.125
mulberry	0.315	0.361	0.469
mulch	0.361	0.383	0.349
mule	0.337	0.254	0.32
mull	0.34	0.594	0.663
mullet	0.356	0.377	0.521
multilateral	0.469	0.705	0.5
multimedia	0.39	0.607	0.611
multinational	0.51	0.842	0.656
multiple	0.51	0.578	0.66
multiple sclerosis	0.587	0.483	0.188
multiplex	0.59	0.667	0.61
multiplication	0.565	0.762	0.646
multiplicity	0.49	0.777	0.677
multiplied	0.559	0.729	0.802
multiplier	0.615	0.741	0.643
multiply	0.625	0.777	0.802
multitude	0.765	0.847	0.562
mum	0.317	0.698	0.802
mumble	0.444	0.245	0.292
mumbo	0.506	0.336	0.429
mummy	0.588	0.415	0.4
mumps	0.41	0.311	0.099
munch	0.277	0.434	0.541
munchies	0.47	0.491	0.562
munchkin	0.466	0.374	0.49
mundane	0.42	0.48	0.312
municipal	0.39	0.758	0.625
municipality	0.28	0.614	0.569
mural	0.265	0.454	0.551
murder	0.942	0.615	0.061
murderer	0.96	0.65	0.01
murderess	0.941	0.462	0.041
murderous	0.94	0.682	0.017
murky	0.618	0.37	0.143
murmur	0.52	0.2	0.458
muscle	0.49	0.645	0.359
muscular	0.434	0.577	0.531
muse	0.36	0.509	0.76
muses	0.434	0.571	0.714
museum	0.206	0.481	0.792
mush	0.311	0.125	0.5
mushroom	0.274	0.269	0.49
mushy	0.2	0.182	0.52
music	0.563	0.605	0.833
musical	0.63	0.53	0.908
musician	0.509	0.618	0.816
musing	0.151	0.465	0.74
musk	0.454	0.453	0.469
musket	0.654	0.51	0.26
musketeer	0.569	0.705	0.694
muskrat	0.51	0.368	0.439
muslin	0.304	0.352	0.439
muss	0.438	0.302	0.418
must	0.382	0.441	0.408
mustang	0.642	0.708	0.635
mustard	0.346	0.275	0.5
muster	0.46	0.548	0.635
musty	0.367	0.267	0.354
mutable	0.531	0.491	0.426
mutant	0.676	0.573	0.337
mutate	0.548	0.463	0.281
mutation	0.625	0.611	0.365
mute	0.2	0.25	0.271
muted	0.167	0.162	0.26
mutilate	0.9	0.465	0.125
mutilated	0.841	0.356	0.041
mutilation	0.782	0.456	0.122
mutiny	0.89	0.549	0.323
mutt	0.408	0.387	0.418
mutter	0.427	0.228	0.406
mutton	0.283	0.393	0.427
mutual	0.321	0.464	0.729
mutually	0.49	0.582	0.844
muzzle	0.43	0.232	0.388
myfavorite	0.587	0.615	0.812
myopia	0.387	0.226	0.245
myopic	0.396	0.218	0.344
myriad	0.429	0.55	0.48
mysterious	0.699	0.455	0.448
mystery	0.667	0.519	0.417
mystic	0.52	0.535	0.643
mystical	0.443	0.689	0.594
mysticism	0.598	0.423	0.594
mystified	0.6	0.509	0.344
mystique	0.633	0.667	0.668
myth	0.432	0.338	0.458
mythic	0.528	0.645	0.635
mythical	0.556	0.583	0.625
mythological	0.573	0.658	0.76
mythology	0.439	0.688	0.684
nab	0.544	0.407	0.469
nacho	0.259	0.333	0.667
nada	0.231	0.136	0.25
nadir	0.363	0.424	0.479
nag	0.451	0.472	0.271
nail	0.397	0.282	0.469
nail gun	0.806	0.574	0.378
naive	0.26	0.375	0.406
naked	0.885	0.288	0.323
nakedness	0.76	0.35	0.48
namaste	0.255	0.464	0.719
name	0.3	0.415	0.573
named	0.396	0.565	0.562
nameless	0.28	0.164	0.344
namesake	0.327	0.404	0.418
naming	0.41	0.559	0.667
nana	0.255	0.375	0.765
nanny	0.37	0.528	0.615
nanometer	0.356	0.446	0.375
nap	0.098	0.342	0.66
napalm	0.58	0.471	0.265
nape	0.268	0.298	0.427
napkin	0.142	0.209	0.469
napping	0.046	0.306	0.765
nappy	0.333	0.207	0.529
narcissism	0.639	0.54	0.214
narcissist	0.614	0.629	0.173
narcissistic	0.708	0.655	0.323
narcotic	0.858	0.45	0.102
narrate	0.48	0.473	0.541
narration	0.408	0.551	0.622
narrative	0.303	0.443	0.58
narrator	0.43	0.623	0.673
narrow	0.368	0.356	0.26
narrowing	0.593	0.357	0.354
nasal	0.34	0.33	0.479
nascent	0.373	0.585	0.684
nasty	0.62	0.264	0.115
natal	0.462	0.481	0.755
nation	0.443	0.821	0.594
national	0.365	0.663	0.698
nationality	0.4	0.772	0.642
nationwide	0.217	0.672	0.684
native	0.422	0.71	0.635
nativity	0.337	0.673	0.75
natural	0.118	0.481	0.854
natural gas	0.324	0.396	0.635
naturalist	0.255	0.562	0.844
naturalization	0.279	0.652	0.781
naturalized	0.333	0.6	0.76
naturally	0.276	0.549	0.854
nature	0.184	0.643	0.857
naught	0.176	0.161	0.344
naughty	0.857	0.371	0.451
nausea	0.781	0.273	0.104
nauseate	0.66	0.176	0.062
nauseating	0.64	0.25	0.021
nauseous	0.78	0.284	0.135
nautical	0.25	0.579	0.646
nautilus	0.509	0.517	0.396
naval	0.449	0.679	0.542
nave	0.448	0.585	0.583
navel	0.261	0.276	0.448
navigable	0.406	0.645	0.749
navigate	0.555	0.675	0.74
navigation	0.47	0.72	0.841
navigational	0.481	0.564	0.573
navigator	0.592	0.623	0.583
navy	0.76	0.764	0.531
nay	0.29	0.325	0.344
nearsighted	0.373	0.265	0.271
neat	0.235	0.491	0.878
neatly	0.412	0.588	0.802
nebula	0.418	0.438	0.51
nebulae	0.33	0.472	0.49
nebulous	0.347	0.417	0.469
necessarily	0.423	0.598	0.667
necessary	0.433	0.679	0.75
necessitate	0.604	0.516	0.578
necessities	0.63	0.463	0.52
necessity	0.471	0.588	0.567
neck	0.245	0.345	0.541
necklace	0.294	0.373	0.76
necktie	0.229	0.314	0.583
necromancer	0.625	0.536	0.333
necrosis	0.622	0.385	0.115
nectar	0.331	0.398	0.746
need	0.574	0.2	0.51
needalife	0.443	0.394	0.49
needed	0.342	0.679	0.677
needful	0.46	0.614	0.582
needit	0.472	0.356	0.25
needle	0.472	0.36	0.25
needlepoint	0.5	0.556	0.653
needles	0.602	0.348	0.25
needless	0.385	0.2	0.327
needtoknow	0.606	0.474	0.427
needtorelax	0.438	0.274	0.673
needy	0.451	0.245	0.36
nefarious	0.72	0.528	0.184
negation	0.461	0.297	0.255
negative	0.527	0.176	0.102
negativity	0.52	0.273	0.06
neglect	0.55	0.163	0.045
neglected	0.385	0.16	0.271
neglecting	0.441	0.23	0.177
negligee	0.52	0.336	0.385
negligence	0.57	0.251	0.092
negligent	0.583	0.259	0.167
negligently	0.583	0.266	0.056
negligible	0.292	0.232	0.177
negotiable	0.585	0.731	0.688
negotiate	0.708	0.769	0.612
negotiation	0.615	0.728	0.49
negotiator	0.471	0.817	0.635
negro	0.368	0.461	0.354
neigh	0.642	0.373	0.378
neighbor	0.448	0.434	0.657
neighborhood	0.469	0.373	0.385
neighboring	0.306	0.481	0.656
nemesis	0.688	0.647	0.271
neon	0.48	0.38	0.594
neonatal	0.529	0.357	0.542
neophyte	0.363	0.411	0.286
neoprene	0.451	0.443	0.316
nephew	0.337	0.412	0.719
nepotism	0.584	0.517	0.349
nerd	0.481	0.315	0.408
nerdy	0.255	0.292	0.296
nerve	0.698	0.307	0.129
nerves	0.783	0.264	0.333
nervous	0.82	0.213	0.235
nervousness	0.915	0.241	0.163
nervouswreck	0.867	0.179	0.112
nervy	0.83	0.241	0.25
ness	0.48	0.392	0.396
nest	0.221	0.333	0.687
nestle	0.308	0.379	0.625
nestling	0.427	0.286	0.604
net	0.288	0.417	0.441
nether	0.265	0.259	0.24
netting	0.509	0.585	0.368
nettle	0.324	0.49	0.406
network	0.337	0.466	0.531
networking	0.482	0.545	0.625
neural	0.426	0.391	0.582
neuralgia	0.706	0.439	0.092
neurological	0.54	0.558	0.5
neurologist	0.5	0.736	0.608
neurology	0.537	0.58	0.459
neurosis	0.766	0.418	0.122
