****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
pendergast		Where did you see it?
margo		Behind me.  Over there.
margo		That's not what I saw.
pendergast		All right.  If you're positive.
pendergast		Stay in formation together.  Take it room by room.  Check for footprints, any signs of disturbance.  If you see or hear anything the least bit suspicious, I want to know.
pendergast		Bailey's going to be in the guard house outside.  Officer Van Dorn is right down that hall.  When McNitt's done, he'll relieve you.
pendergast		Dr. Green...
margo		I didn't imagine it.  I know what I saw.  Are you sure there are enough men in there?
pendergast		They're all heavily armed.
margo		 All right.  This is hard for me.  I'm a scientist.  I like order and logic. Sometimes too much.  There's got to be an explanation.  There can't be an animal in there.  But I saw something.
pendergast		What was it?
margo		I don't know.  Mr. Pendergast.  Do me a favor.  Get me a DNA readout on that claw.
doyle		Bailey?  Doyle here.  I'm still waiting outside the exhibit.  Where the hell is McNitt?
bailey		Should be there any minute.  They came out a side door a while ago. Said the exhibit's clear.  McNitt's headed back to spell you.
doyle		I'm on double over-time, man.
bailey		I know.  You can go home if you want to.  I'll come relieve you myself.
doyle		What the hell.
doyle		McNitt?
doyle		McNitt?  Cut the crap.  I know it's you.  You're not scaring me.  Come on.
mcnitt		McNitt here.  I'm outside the exhibit.  All's quiet.  But I don't see Doyle.
mcnitt		Well he's gone.
mcnitt		 Nope.
pendergast		I had no idea the Museum had a complete collection of Piranesi's Forum sketches.
cuthbert		If you like them, they're for sale. Another day like yesterday and half the collection will be on the block.
pendergast		I've read about the Museum's financial troubles.
cuthbert		We've been operating in the red for years.  That was the whole idea behind the Superstition Exhibit.  It was designed to pull people in. We've spent every penny we have on advance publicity, betting everything on the opening's success. If we postpone at the last minute... No.  I don't want to think about that.
cuthbert		I appreciate that.
pendergast		If the party goes forward, and that's a big if... I've arranged for a large police presence.
cuthbert		Do they have to wear uniforms?
pendergast		Yes.
cuthbert		I don't want to scare people.
pendergast		I understand.  But Mr. Cuthbert, we've got bigger problems.  Depending on what we find today, we may have to shut you down.
kawakita		What do you make of it, Margo?
margo		It's not mammalian, that's for sure. I think it's reptilian.
pendergast		That would jive with what we got from the preliminary DNA read-out. Here, have a look.
margo		According to this, twenty-five percent of the claw DNA is unidentifiable, about a third is homo sapien, and the rest is Hemidactylus Turcicus.
margo		Turkish Gecko, I believe.  A lizard.
kawakita		Lizard DNA and human DNA on the same strand?  Impossible.  The sample must be contaminated.
margo		There's another possibility.  A lot of repeated base pairs could suggest a high level of genetic damage.
pendergast		Genetic damage?
margo		When DNA is defective, it often uncontrollably replicates long repeating sequences of the same base pair.  Viruses can damage DNA.  So can radiation, certain chemicals.  Even cancer.  Let's let the G.S.E. sort it out.  I have to get started.  This will take several hours.
pendergast		We need someone to take us to the secure storage area.
kawakita		Try Dr. Frock.  He's the curator of Plant Biology.  All the curators have keys.  And he knows every inch of this museum.  The rest of us still get lost.
pendergast		Thank you for taking the time to help us with this, Dr. Frock.
frock		Happy to be useful.  It's rare enough these days.  According to security, Beauregard put the Whittlesley
pendergast		How many storage areas are there?
frock		They fill seven floors.  We have the largest collection of mammals and dinosaurs in the world.  Just to give you an idea, there are more than three million insects specimens.  Not to mention amphibians, reptiles, birds, anthropological artifacts, meteorites, minerals and gems.  Only about five percent of the museum collection is actually on display.
frock		I'm one of the few who know every inch it, now that John is gone.
pendergast		 Do you mean Dr. Whittlesley?
frock		Yes.  John made quite a study of the whole museum.  He had a copy of my original plans.
margo		Osteo prep, Karl.
karl		They keep me company.  Gets kinda lonely sometimes.
karl		Really?  I'm partial to the skunks.
frock		Did you ever wonder where we get all our skeletons?  This is the laboratory where animal carcasses are reduced to bones.  What's cooking today, Don?
don		Zebra.
frock		Dermestid beetles.  The second method of preparing a skeleton, used in Natural History Museums world wide. Bugs are clean and highly efficient. They'll polish that fox off in no time.
osterbaan		Want to have a look at a gorilla brain?  Got one right here.
frock		Thanks Don.  We're in a hurry.  Some other time.
frock		This should be it.  Can you read the number?
frock		Something tried to get into this room!
pendergast		And failed.  These doors are solid steel.
frock		This means there must be an animal loose in the museum!
pendergast		I wouldn't be so sure.
pendergast		This must be the one that held the statue.  Let's see what else is inside.
frock		 May I see that?
frock		It's from John.  Those two arrows were his insignia.  It's addressed to Louis Moriarty, a patron who financed his expeditions.
pendergast		Read it out loud.
frock		"Dear Louis, Tomorrow we go to the south end of the tepui where we'll be in the greatest danger, so I'm sending Carlos back with the crates.  You always believed in me, Louis, even in the darkest days.  So it gives me great pleasure to tell you your faith has been rewarded.  We've made an incredible find.  I enclose a representation of Mbwun.  Note the exaggerated claws, the reptilian attributes, the hints of bipedalia. It's beyond belief, but this statue is accurate.  I know because I've seen the beast."
frock		Did you hear that?  My God.  He says that Mbwun is real!
frock		This on top of the scratches... isn't it proof!
pendergast		I think the scratches were put there to scare us.  Perhaps even lead us to this note.
pendergast		You said John Whittlesley made a study of your blueprints of the museum.
frock		Yes.
pendergast		Are there any hidden rooms or staircases?  Places where someone could hide?
frock		Not really.  Just the sub-basement.
pendergast		Where is that?
frock		I don't know.  It was walled over.  No one's been down there in years.
pendergast		You said you had plans of the museum.  Could we see them, please?
frock		I know they're here somewhere.  It's a good thing we caught the movers in time.  They're nineteen century blueprints from when the museum was built.  I remember the sub-basement was below the regular basement, linked to the city sewer.  I only know about it because it flooded all the way up to the museum during the hurricane of '49.  I lost so many precious books.
frock		Eureka.  Who says it doesn't pay to be a pack rat?  Now please be careful with these.  When you're done, I'd like them back.
pendergast		Apparently it's huge.
pendergast		We haven't got time.  You have to meet with museum security so we can make a decision about tonight.
pendergast		These plans indicate there's a walled over entrance to the sub- basement right around here.
jonathan		The dogs are picking up something, Mr. Pendergast.
deputy one		What is this?  A dungeon?
ippolito		This huge police presence tonight isn't necessary, Lieutenant.  You'll just scare people off.  I can handle the security behind scenes with this system.  It's state of the art.
ippolito		It's fool proof, basically.  I designed this whole thing myself. Every valuable object in the Museum carries a small electronic chip.  If anything's moved so much as an inch, we get an alarm pinpointing the exact location of the attempted theft.
ippolito		In every exhibition room.  The museum's divided into five cells. The reception and exhibit are in cell five.  We could arm the motion detectors in cells one to four, then seal the perimeter with our fire doors.
ippolito		 You don't know much about computers, Lieutenant.  There are safeguards built in.  We have back-up systems with redundancies.  There's no way these computers can fail.
frock		I can't help thinking there's something that Pendergast overlooked.  If the scratches were made by whatever killed Beauregard, it wants something that's in here.
margo		A blow dart.  Seed pods.  A plant press.  Pretty unimpressive stuff.
frock		Let me see the plant press.
margo		What is it?
frock		I'm not sure.  As you know, the Kothoga lived outside civilization on the tepui for thousands of years. Species flourished in isolation when man and pollution rendered them extinct.  This could be one of the last remaining samples of an unknown plant.
margo		Whatever it is, it must be common on the tepui.  John used it as packing material.
frock		You're right.
frock		They're curiously fleshy.
kawakita		And they smell delicious.
kawakita		Taste great.
frock		I wouldn't put that in your mouth until we do a chemical analysis, Greg.
kawakita		I can handle that for you while we're waiting on the G.S.E.
margo		What about those seed pods?  Are they from the same plant?
frock		Margo, these aren't seed pods.
margo		What are they?
frock		They're eggs.
pendergast		Hard to read in this light.  The ink is so faded.
jonathan		The dogs have lost the scent, Mr. Pendergast.  Maybe we should head back.
pendergast		Not yet.  Let's try the fork to the left.
deputy two		This place gives me the creeps.
jonathan		They've got something.
pendergast		Keep the light up.  I can't see.
pendergast		Shut them up!
jonathan		Heel Argo!  Hobbes!  Heel!
jonathan		They're going crazy!  I need help!
jonathan		He's loose!  Argo!
pendergast		Stop!
jonathan		Holy mother, what is that?
deputy one		Smells God-awful.  Like rotten meat.
jonathan		Argo!  Come!
pendergast		Quiet!
jonathan		No!  Hobbes!
pendergast		Forget the dogs.  You two, get back here.  Don't point that gun at me.
jonathan		Argo!  Hobbes!
pendergast		Get back!  Now!
jonathan		You shot my dog!
jonathan		My dog...
deputy one		 He was coming right at me...
deputy two		Let's get out of here!
jonathan		I'm not going anywhere!  Not without my dog!
jonathan		Hobbes!
deputy one		Get back!
jonathan		There's something out there!  Let's go get it now!  That's why we came down here, isn't it?
pendergast		 He's right.  Follow me.
deputy one		No way.  I say we get help.  A lot more guns.
pendergast		I'm ordering you!  Cover me!
deputy two		We'll cover you from here!
jonathan		Look.  It's Hobbes!  He's all right.
pendergast		Come on.  Let's get back to the others.  We can't leave them alone.
jonathan		It's alright.  I can tell by the way the dog's acting that whatever was out there is gone.  What is this place?
pendergast		Not on the map.  Looks like it connects with the city sewer.
pendergast		We're coming back!
pendergast		Identify yourself!  Who's there?
jonathan		Oh... my... God!
pendergast		 Quiet.
pendergast		Stay calm.
cuthbert		It's too late now.  Guests are arriving.  The Mayor's car is pulling up.
cuthbert		 You haven't got the authority.  Only Pendergast can pull the plug.
cuthbert		He'll be back.  Relax.  We're in good shape.  Your security is air tight. There've been no more incidents, nothing suspicious.  There's no reason to call off the opening now.
kawakita		What kind of egg is it?
margo		It's reptilian.
frock		Like the claw.
margo		 Let's not jump to conclusions.  This egg could belong to any number of reptiles, Dr. Frock.
frock		 Come on, Margo.  We're on the verge of something huge.  Let's consider the possibility, just the three of us, alone in this room.  What if John was right.  I mean, what if?  And he sent back an egg of his monster in the crates.  When it got to the museum, it hatched.
margo		Several problems with that theory. For one thing, this egg is intact. For another, according to Pendergast, the crates were shipped here on a boat.  Everyone on board was killed like Beauregard.  If the thing hatched in mid-ocean, where did it go?
kawakita		I guess you're not interested in this plant anymore, but the chemical analysis is done.  Frock reads the computer over Greg's shoulder.
frock		"Genus: Unknown.  Family: Unknown. Order: Unknown.  Phylum: Unknown. Cripes, Margo, what did you give me? Is this an animal or one funky shrub?"  I see you've been programming the computer vocabulary again.
margo		 Look at this.  An ambyloid reovirus protein.  That explains why the computer's confused.  The plant's infected with a virus.
frock		That's not so unusual.  Many plants carry viruses.  Like the burls on Maple trees.
margo		But a virus normally codes for other viruses.  This one's making human and animal proteins.  Listen to this.  "Glycotetraglycine collagenoid. Weinstein's tropic hormone.  4- monoxytocin supressin hormone."
kawakita		These plant fibers are loaded with hormones!
margo		What kind of hormones?
kawakita		4-monoxytocin is... "A hormone secreted by the human hypothalamus gland."
margo		Try Weinstein's tropic hormone.
frock		A hormone secreted by the human thalamus gland.
margo		This is it.  This is what he, or it... is after!  The plant has high concentrations of the same hormones found in minute quantities in the human brain!
kawakita		So what?
margo		Pendergast told me the killer extracts and eats the hypothalamus and thalamus of the victim's brains!
kawakita		 Eats them?
margo		Yes.  Whatever killed Beauregard may have lived on this plant.  When the crates were put in secure storage, they were out of reach.  The killer couldn't get them, so it got the next best thing.
frock		Beauregard's head.
margo		It's all right.  That means the G.S.E.  has finished analyzing the claw DNA.  Greg, you go find Pendergast and Lieutenant D'Agosta now.
drunk		Hey, where 'za little boys room?
kawakita		Down that hallway.  But don't stay long.  You don't want to be here alone.
margo		All right, assuming the program is accurate, this is a description of the animal with that claw.  "Species unidentified.  Genus: unidentified.  Phylum unknown.  Male, weight in excess of 240 kg.  Brain capacity, 900 centimeters." That means it's highly intelligent. "Quadrupedal."
frock		Quadrupedal!  The other name for Mbwun.  "He Who Walks on All Fours."
margo		"Nocturnal.  External hair and bony plates.  Locomotor speed 60-70 kilometers.  Reduced optic chiasm"... poor eyesight.  "External mucoid nasal glands,"... very keen scent... "Morphological characteristics: Highly robust.  Aggressiveness: extreme."
frock		So the claw came from a huge creature with a preternatural sense of smell and poor eyesight that hunts at night.
margo		With the intelligence of a human being, the speed of a greyhound, and the strength of a grizzly bear.
frock		 Margo, what you've just described is a killing machine.
margo		And it's hungry.  It's been two days since it's eaten.  There are five hundred people arriving right now. The animal hunts at night and it has a keen sense of smell!  All those people in one enclosed space...
frock		It's like ringing the dinner bell.
cuthbert		Thank you everyone and welcome. We're glad all of you were willing to brave the inclement weather to be with us tonight.  Our special thanks to his honor, the mayor and his lovely wife.
kawakita		Lieutenant!  It's me.
kawakita		Dr. Green has to see you!
kawakita		It's important.  Please.  You have to come!  Pendergast, too.  She's found out something.
mcnitt		Yeah Lieutenant?  I'm here.
mcnitt		Not yet.
mcnitt		Hold on Lieutenant.  What was that?
george		Probably just something wrong with the air conditioning.  There's a shit load of electrical rooms back there.
mcnitt		Lieutenant?  There's something wrong in the computer room.
george		You're over-reacting.  Sounds like the air conditioning to me.
cuthbert		Here we have a very rare sacrificial table from Mesoamerica.  The priests would kill the victim on this slab, cut out the heart and eat it while it was still beating.
mayor		I could use one of these things in City Hall.
mayor's wife		You're letting kids see this?  I should think they'd have nightmares.
cuthbert		Kid will love it.  They're our target audience.  Nothing here is as violent as what they see on T.V.
mayor		I don't know.  That could be a little over the top.  It's not even scientific.  Mummies don't bleed.
cuthbert		Oh... my... God...
ippolito		Quiet everyone!
woman		There's a body up there!
mcnitt		George!  Get out here, now!
mcnitt		George!  Where are you?
mcnitt		Hey you?  George!  Damn it.  Where are you?  No response.
mcnitt		George!  We've got an emergency!  Are you here?
mcnitt		Oh God.  Oh God!
mcnitt		George!  I saw something in there!  I fired but I think I missed it!
mcnitt		George, for Chrissake answer me!
kawakita		What happened?!
ippolito		The whole system is shutting down! We have to get out quickly before the fire doors fall!
ippolito		I told you!  They seal off all the cells.  They were designed to fall automatically in a system failure --
bailey		Above you!  Look out!
ippolito		Like hell!
margo		What's going on?
frock		Some kind of power failure.  Maybe it's the storm.  Do you have a flashlight?
margo		I think so.
frock		Greg's been gone over a half hour. We'd better get out of here.  Get the crate.
margo		Dr. Frock.  Did you hear that?
frock		Don't stop now.
margo		What's that?
frock		It's one of the fire doors.  Good Lord, Margo.  We're trapped!
pendergast		I know where we are now.  We're getting out, Jonathan.  This should be another door.
jonathan		Hallelujah, Pendergast.  Where the hell are we now?
jonathan		Jesus, what is this?
pendergast		Another storage room.
pendergast		Something's happened.  The power's out.
pendergast		All right.  I know where we are.  This is the osteo prep lab.  I was in here earlier.  We're safe now.
jonathan		Oh no.  I smell it.
pendergast		Keep the animal quiet.
pendergast		Go out the other doorway.  There's a stair at the end of the hall.  Up five flights is a corridor that leads to the Hall of the Heavens. Find Lieutenant D'Agosta.  Bring help.
pendergast		Halt!
pendergast		Margo!  Frock!  It's coming!  Run!
frock		Look!
margo		Dr. Frock!  Quick!
pendergast		No.  I think I'm hallucinating.
margo		You're not.  Where is it?
pendergast		 Gone.
margo		Wounded?
pendergast		No.  A chromium alloy tipped .45 caliber bullet bounced off that thing's skull like a spit ball.  I think it was bothered by my light.
margo		That would fit.  It's nocturnal. Quick.  Come inside.
bailey		Manual overrides aren't working.  I'm getting nothing, Lieutenant.
frank		There's no power.  The whole system's down.
man		We're trapped!  And there's a killer in here!
mayor		Yes.  My wife.
pound		I'm Dr. Pound.
jonathan		 Lieutenant D'Agosta!  Don't shoot.
jonathan		 Five flights down.  We were lost in the sub-basement.  Something's down there.  It killed our two deputies. When I left Pendergast it was coming back.  He sent me for help.  We have to hurry.
pound		But he's still alive --
cuthbert		What's going on?
bailey		I'm in.
kawakita		 Me too.
cuthbert		 I'd do it gladly but someone needs to stay with these people.
frank		I was in the Marines.  Give me a gun. I'd go with you, too, but I've got my daughter.
frank		Frank.
mayor's wife		 Where are you going?  Don't leave us alone!
mayor		Everyone quiet.  The Lieutenant's in charge.
kawakita		Excuse me.  Could you tell me how this thing works?
jonathan		Oh Jesus.  Don't point it at me.  Just aim and shoot.
jonathan		Lieutenant!  Get back!
bailey		NOOOOO!
jonathan		I don't know!  It hit me hard.
mayor		 Lieutenant.  In the south corner.
cuthbert		It went out the door to the rotunda!
cuthbert		Sweet Jesus!
cuthbert		My office is on the third floor! There's a walk-in safe and a portable phone!  We can lock ourselves in the safe and call for help!
mayor		I think we should stick together!
frank		 Me too.
cuthbert		I'm leaving.  Whoever wants can come with me.
mayor		Good luck!
ippolito		All right everyone.  I'm in charge. Status report.
waters		Swat teams are on the way.  Fire trucks with them.  Everything's slowed down because of the rain. We're bringing in portable generators.  They'll get the emergency lights working but they won't pump enough power to lift the doors.
ippolito		D'Agosta?  Ippolito.  Come in.
ippolito		I made it outside.  I'll co-ordinate the rescue efforts from here.  Help is on the way.  Just sit tight.
waters		Did he say monster?
ippolito		Panic attack.
mayor		Mayor Jordan here.
mayor		Don't tell me what to do you chicken shit bastard.  I saw you cut and run! Lieutenant D'Agosta stayed with us. He is in charge.  There is a monster. I saw it.  Cut through those doors and get us out of here, now!
ippolito		All right.  The steel doors are designed to retard cutting.  We can go through them, but it would take hours.
waters		The quickest way in would be to go through the roof, sir.  Cell two goes up to the fifth floor.  There are sky lights up there.
ippolito		Co-ordinate with the fire department and SWAT teams.  Move.
pendergast		I don't know how to deal with this. It's hellish.  Like nothing I ever saw.  I'm not trained to deal with a monster, a supernatural creature like that.
margo		It's not supernatural.  Mbwun is an animal.  Part lizard, part human, a genetic freak of some kind, like the half-goat, half-sheep they found last year in the jungles of Vietnam.
pendergast		But this isn't the jungle!  This is New York.  How did it get here?  A thing like that crossed two continents.  It makes no sense!
frock		 We think it may have something to do with the eggs we found in the crate.
pendergast		I don't believe it.
margo		None of that matters now.  The people upstairs need us.  We have to help.
frock		We can't.  We've managed to get inside the one place that's safe.  I think we should sit tight and wait for reinforcements.  If we go outside, we're risking more lives. You have to accept it, Margo, there's nothing we can do.  The building must be swarming with police by now.  It won't take long for them to get through the doors.
margo		That thing could kill ten people in a matter of minutes.
pendergast		But what can we do?  Our guns are useless --
margo		We have the fibers.  Don't you see? The creature is hungry.  It wants the hormones in these plants.  It would take hundreds of human brains to supply what's in these fibers.  We're just a poor substitute.  To make it stop hunting, we have to give it what it wants.
cuthbert		Solid oak.  Two inches thick.  Tell me they'll hold.
cuthbert		I got it after I was mugged in the subway last spring.
jonathan		Where's the walk-in safe?
cuthbert		Behind you.
jonathan		What's the combination?
cuthbert		I'll do it.  Just let me find my portable phone.
jonathan		Forget it!
cuthbert		Calm down.  I found it!
cuthbert		Battery's dead.  Shit.
jonathan		Let's go!
cuthbert		That thing won't come after us, right?  It's going for bigger game. The group blundering around in the basement.  Poor fools.
jonathan		Hurry up!
cuthbert		Just a minute.  I'm shaking!  Take the gun.
cuthbert		Oh God!  I dropped my rabbit's foot!
jonathan		For Chrissake, I'll do it.  What's the combination?!
cuthbert		To the left twice then five no... sorry... I think it's fifteen... it's been a while...
jonathan		Oh Jesus...
jonathan		Fifteen... what's next?
cuthbert		Eight to the right!  Look!  I found it!
pendergast		All clear.
frock		I'm coming with you.
margo		No, Dr. Frock.  You can't.
pendergast		You'd slow us down and put Margo in danger.
margo		Unlock one of the other storage rooms.  We're going upstairs.  We'll leave a trail back to 1012 and try to trap the monster in here.
frock		Margo, this is too dangerous.  You always think you can solve everything.  This time you don't have enough information.  The animal might behave in unexpected ways.  Leave her here with me.  Don't put her in danger.
pendergast		He's right.
margo		No.  You'll need me --
frock		What's that?
pendergast		Footsteps!
margo		No, not footsteps!  People running for their lives!
frock		Come back and get me.
margo		We will.
frock		Remember, it has poor eyesight.  It hunts with its sense of smell.  So for God's sake, Margo, don't get those fibers on your clothes!
kawakita		It's still back there!
pendergast		That was D'Agosta.
margo		The planetarium!
pendergast		 Vince!
pendergast		This door's locked.  Try shooting the hinges off.
kawakita		Is Dr. Frock safe!
margo		Yes, he's fine.  Greg... take care of yourself!
margo		Is there another way around?
pendergast		No.  The planetarium is in the next cell.  This is one of the fire doors...
pendergast		Vince?  There's no way we can get to you with the fire doors down. There's an entrance to the sub- basement in the hall off the north side exit.
pendergast		I've been down there.  It links up to the old sewer system.  I can guide you out.
kawakita		You're asking me?  I don't even know how to load this thing.
frank		Four rounds...
pendergast		Go out the north exit!  There's a hallway and a false wall by the Greek vases.  Run!
pendergast		Hide quickly!
margo		What are you going to do?
pendergast		Buy them some time.
pendergast		Hey you big tub of lard!  Over here!
pendergast		Come on, you smelly pile of refuse. Come get me.  I dare you!
margo		What is it doing?
pendergast		 It's scared of me.
pendergast		Drop the fibers!
pendergast		What happened?
margo		Its eyesight is worse than I thought.  It couldn't see us.  And it couldn't smell us through the glass.
pendergast		It didn't want the fibers.  What does that mean?
margo		I think... it means it's full.
pendergast		Then it won't go after the others?
margo		No.  It's still hunting, but not for the hormones.
pendergast		For what?
margo		I think... for the pleasure of the kill.
pendergast		We're fine.  Take the left fork behind you.  You'll be in a straight passage.  When the hall forks again in fifty yards go right.  Then radio back.
kawakita		Oh shit.
frank		No, Lieutenant.  He's not a good enough shot.  I'll do it if you take care of my daughter.
frank		You'll be the first to know.
mayor		It's too late!
lauren		Dad!
kawakita		I think it's gone.
mayor		Which way!
kawakita		Holy shit.
pendergast		Vince?  Can you hear me?  Vince!
margo		We have to try and draw it off!
pendergast		How?
margo		The answer's right in front of us.
margo		That's a ptarmigan, feigning a broken wing.  The bird pretends to be injured to draw the fox away from its nest!
pendergast		 It's deceptively simple.  Like a Bruckner Symphony or a Matisse.
margo		Help!  Please someone!  Help!
jennings		We're ready.  We've got enough firepower to turn a herd of lions into a fine red mist.
ippolito		Then do it.
jonathan		It's okay, Hobbes.  We'll be all right.  Help has got to come eventually... We'll make it.  We'll be fine.
jonathan		Hey!  Wake up!
drunk		Who the hell are you?
jonathan		You first.
drunk		I got lost tryin' to find the bathroom.  I was walkin' in circles. I lay down for a nap.  What's going on?
jonathan		You wouldn't believe me if I told you.
jonathan		What is it, boy?
drunk		Where we going?
jonathan		I think we're going home.
jonathan		Hello!  We're over here!
jennings		Are you hurt?
jonathan		We're fine.  I don't know about the people downstairs.  In the Hall of the Heavens.  The basement... you'll need help.  There's a monster down there.
jennings		The rescue workers will lift you out one at a time.
margo		Help someone!
pendergast		Oh God!  Help!
margo		You smell that?
pendergast		It's coming.  Run.
kawakita		I believe in you a hundred percent, Vince, but that's the second time we've been at that intersection.
kawakita		What's that?
kawakita		 Dr. John Whittlesley.
kawakita		I don't know.  I thought Dr. Whittlesley died in South America.
mayor		 Look.  There's a ladder at the end.  I think it goes up to the street!
kawakita		What is that?
kawakita		Dear God.  Where are we, Lieutenant?
pendergast		We're not going to make the storage room!
margo		Listen to me, Pendergast.  Mbwun's DNA is part homo sapien.  In primates, the eye is a direct path to the brain!  If you get a clean shot, there's only one place you can kill it.  Shoot it in the eye!
pendergast		Please, no!  Don't hurt Margo!
margo		My God.  You understand.
margo		Please let me go.  We won't hurt you.
pendergast		Run!
margo		John's necklace!  You killed him!
margo		Oh Jesus.  John?
margo		No.  It's not possible!
margo		John?  If it is you... I can help.
margo		No!  Don't kill him!  Pendergast, you were right.  It's John!
pendergast		What?
margo		That thing is John Whittlesley.  I should have seen it before!  The fibers are infected with a virus. You eat them, and the virus alters your DNA!  He became addicted to them in South America, followed the plants back to the states.  He probably entered the country as a man.  It would have taken several months for the change to take place. That's how he got from the boat to the museum!
pendergast		I don't believe it.
margo		You have to!  Listen!  All viruses pass on their own DNA.  Instruct the cells of the host to make more viruses!  This one was different.  It inserted a whole array of genes into John.  Reptile genes, sixty five million years old.  Those genes remade him!  It's not his fault!
pendergast		Whatever that thing is, we have to kill it!
waters		We can't raise the S.W.A.T. team.  No one's answering!  What do you want to do?
ippolito		Holy shit.  Pull him up.
ippolito		Get more guns!  Now!
ippolito		Get back!  We're going to shoot!
margo		No.  Wait!  Let me talk to him first!
ippolito		 Kill that thing!  Kill it now!
margo		No!
margo		John... you can give up now!  Just lie down where you are!
waters		Holy shit it's coming this way!
ippolito		It's headed for the roof.  Run!
waters		Get back here, you asshole!  We can't let it get out!  Surround the opening and kill it!
waters		Back, everybody!  That's an order!
margo		Just like John.  He won't listen.
pendergast		I have to shoot.
margo		Do it, quickly.  Please.  Aim for the eye.
pendergast		He has to look here or I won't get a clear shot.  Call him, Margo.
margo		I can't!
pendergast		You have to.  Do it now!
margo		John!  John, look at me!
kawakita		Margo Green.  Have you seen her?
pendergast		She's over here.
pendergast		Nice to see you, Lieutenant.
margo		No time for fishing anymore?
kawakita		Got to finish this thesis sometime.
margo		How about lunch?
kawakita		Not today.  Besides, I think the director of the museum is expecting you.
margo		Okay.
margo		Dr. Frock?
frock		Look who's here, Margo.
margo		I'm so glad to see you.  What's the occasion?
pendergast		I'm in town on a case.  Dropped by to see Vince and we thought we'd see the new display.
pendergast		Dr. Frock, I was wondering.  What happened to the rest of Whittlesley's plants?
frock		They were sent to the Center For Disease Control in Atlanta.
frock		The virus itself might have positive applications.  They'll keep the plants in secure lock up while the studies are made.  Greg isn't joining us?
margo		He's changed.  He's always working on his thesis.  He comes in early, stays late.  I tried to get him to join us, but he never takes a break.
pendergast		We did the right thing, Margo.
margo		Yes.  I know.
****Dialogues from script :Remember_Me.txt****

blonde		 Hello?
tyler		Yeah...  Of course. I'm on my way. I know...I know...I know...I know.
tyler		 Hello, your majesty. How are you?
diane		I'm fine... you look good...
tyler		Thanks for organizing everybody.
caroline		You smell like Listerine and beer.
charles		 You couldn't wear a tie?
tyler		Could have.
diane		...This is nice... I think it's nice that we still do this...
caroline		 Mom.
diane		I forgot. I'm trying to purge "nice" from my vocabulary. Michael would like that we still do this.
diane		 Did you tell Tyler what your art teacher said about your portrait?
caroline		Tyler, did I tell you what my art teacher said about my portrait?
tyler		Why no, Caroline. What did your art teacher say about your portrait?
diane		 You two. I quit.
caroline		...She was very impressed. She said I captured a moment like a young James Whistler.
tyler		Young Whistler... good... 'cause Whistler really fell off late in his career. He's the Michael Jackson of European art history.
diane		She suggested your sister take Pratt's Summer Art Intensive and that's hugely prestigious.
caroline		I would be the youngest one, ever, practically...
charles		Tyler, would you please pass the butter?
diane		Caroline was speaking.
tyler		 Are you really this clueless? Are you really dismissing her like this?
charles		Caroline is perfectly capable of speaking up if she is feeling dismissed. Caroline, are you feeling dismissed?
caroline		I'm okay.
charles		 I didn't mean to change the subject.
tyler		What was the subject?
charles		Excuse me?
tyler		The subject we were discussing. What was it?
charles		Now's not the time for your heroics Tyler
tyler		No. It's the perfect time.
tyler		 Do you need me to take you anywhere?
caroline		I'll stay with mom.
tyler		Then I'll see you after school.
caroline		Kay.
hostess		Eat something.
tyler		Yes, ma'am.
aidan		I sold your girlfriend a toothbrush.
tyler		You sold my who? ...What?
aidan		That voluptuous, delightfully oblivious little blonde you left in your bed this morning... I sold her a toothbrush. Got three bucks.
tyler		...Congratulations?
aidan		Are in order, yes. Because that sale inspired our newest business venture: "The S.L.U.T."
tyler		I was unaware we had a previous business venture.
aidan		The 'Single Lady's Universal Tote'. It's the one-night-stand travel pack for women. We throw in some make-up, toiletries, cell phone charger, cab numbers. Retail it at
tyler		And you think women would buy this? With money?
aidan		Hey one-night-stands happen... It's a part of life... like stubbing your toe. Sometimes you misjudge a corner and bend back your pinky toe, other times you wake up in a freshman dorm wearing a field hockey tee shirt wondering why your balls smell like cinnamon...
tyler		 Of course. Yes.
aidan		Don't underestimate the novelty gift market. Think about it... instead of giving that token slutty friend a ten-inch purple dildo for her birthday, you hook her up with "The SLUT." Everyone has a laugh and the implication that she'll probably use it someday remains. What do you say? Are you down?
tyler		I'm down with getting you on some sort of medication.
aidan		OK...fine...be cynical...just remember at some point in history two people had a conversation just like this about the light bulb. One of them went on to fame and fortune and the other one probably went to work at Mickey D's or something.
tyler		Or Denny's. Denny's was big in the 19th century.
professor		...in the wake of terrorist attacks these insurance company actuaries are provided a unique opportunity to raise premiums and profits to protect against events that will likely never occur again...
girl		Isn't that also an ethical question?
uptight mommy		Why don't we make this a non- smoking statue?
caroline		 Yeah, Tyler . Why don't we make this a non-smoking statue?
caroline		You promised you'd quit...
tyler		I know.
caroline		You're gonna get emphysema and then you're gonna have to drag an oxygen tank with you everywhere...
tyler		You think that would be the worst part about having emphysema?
caroline		Everywhere you go, Tyler. Even the bathroom.
caroline		Why do you think Dad doesn't wanna...like, listen to me?
tyler		Dad loves you.
caroline		So? You can love someone and not want to spend any time with them.
tyler		You've got that right.
