****Dialogues from script :Miami_Vice.txt****

first draft		9/22/04 WGAw
norman		They've hypnotized the nation.
simon		Schwartzenegger was the king of the edge before they came along.
wayne		You say this and yet...you two are both victims of Mickey and Mallory.
simon		Yes.
norman		Yes.
wayne		How can you say that you 'admire' them?
norman		It's like this, Wayne. Two people are standing in a dark room waiting for the other to attack. These two people can't see each other, yet they know they're there. Now, they can either stand in the dark room forever waiting until they die of boredom, or one of them can make the first move.
wayne		Why can't they just shake hands and be friends?
norman		They can't because neither knows if the other is a deranged senseless killer like the Knoxs. So, you may as well make the first move.
wayne		And they made the first move?
norman		Unfortunately, yes.
simon		But you see, that's okay, Wayne.
wayne		Why?
simon		They passed the 'edge' along to us.
wayne		How so?
simon		By taking away our legs. Now we have to fight harder to get ahead than anyone else you'll find in this gym. Probably the whole city. They gave us the fighting spirit. Before this happened I was content. Now I'm pissed off. Now I'm half a man and I've got to work like the devil to get whole again.
wayne		But you'll never be whole again.
simon		Never is a very long time, Wayne. A word only the weak use. I'm not a sore loser. Even if I don't have a leg to stand on, I'm going to get up and fight this world until I'm on top again.
norman		That's the Mickey and Mallory way.
simon		That's the way of the world.
norman		They're shocking the world into remembering the primal law.
simon		Survival of the fittest.
wayne		One last question. Usually Mickey and Mallory kill all of their victims. Why did they let you two survive?
norman		They had us tied down during one of their house raids, you've seen the headlines, and they were taking a chainsaw to our legs before they were gonna kill us.
simon		Just for fun, I guess.
norman		And then Mallory stops Mickey and says, 'Hey, these are the Brothers Hun.'
simon		Mickey stops sawin' on my leg and says, 'Oh my God, I'm your biggest fan!'
norman		Apparently, they've seen all our films.
simon		They were especially influenced by 'Conquering Huns of Neptune.'
norman		So, Mallory calls 911 and they took off.
simon		They actually apologized.
wayne		The couple proved so popular that a motion picture glamorizing their exploits was made...
movie mickey		I'm gettin' off this minimum wage train. Break my back for you and throw away my youth for nothing. when I'm thirty, have a big wall drop down in front of me called the future. Realize I've been doin' time in a burger flippin' jail.
movie mickey		Listen to me Jimmy-dick, I want cash, lots of it, cars, fast cars! And I want it now! Not later, now! I wanna wail, baby, wail!
movie mallory		I need ya, Mickey. I gotta have ya. I'm no good for no one else. when I'm with you, I burn, baby. Burn like blue flame.
movie cop		When society catches up with you, I'd hate to be in your boots.
movie mickey		Let me telly ya about society and its boots. It uses those boots for steppin' on people like me and her!
neil pope		It is my belief that Mickey and Mallory Knox are a cultural phenomena that could only exist in our sexually repressed society. A flower that could only bloom amidst a grotesque fast food culture. A what I tried to do with 'Thrill Killers' was trace the root of the problem all the way down the vine to the original bad seed. Yet amidst the violence and murder and carnage, you've got the structure of a Wagnerian love story.
movie mallory		Mickey, honey, listen to me.
movie mallory		I can't go. I'm too fucked up.
movie mickey		I'm not saying it's not gonna hurt, but--
movie mallory		I can't run with you, Mickey! I really want to. If I could, I would, but I can't. I gotta stay here. But you can still get out of here.
movie mickey		No fuckin' way! No fuckin' way!
movie mallory		If they stay, they'll catch you, and they don't have to catch you---
movie mickey		No fuckin' way!
movie mallory		Mickey, you're wasting time!
movie mickey		I don't give a damn if a million United States marines, all whistling the halls of Montezuma, are gonna come marchin' down this alley any second. There ain't not fuckin' way in hell I'm leaving you. And that's that!
movie mallory		Mickey, my love, if you leave me, they'll catch me and take me to the hospital. If you stay, you'll make 'em kill you. Then it'd be like I killed you. I could bear anything, but I couldn't bear that. So please, please, for me, my handsome husband, run for your life.
movie mickey		I can't do it. You're my wife, you're my partner. A fella doesn't run when his partner can't run with him. Mallory, my angel, if I could of left ya, I'd of left ya a long time ago.
movie mallory		Well, hell, if you won't leave, give me a gun so I can go out shooting.
movie mickey		Sit tight. I'm gonna make it a little tougher for 'em.
movie mickey		 Time to get naked and boogie.
movie mallory		Mickey!
movie mickey		Yeah baby.
movie mallory		You made every day like kindergarten.
movie mickey		Mallory!
neil pope		It was dramatic license, no doubt. But I felt an operatic love story needed an operatic ending. The two of them kill for each other. They offer the death of their victims to each other like other lovers offer flowers or bon bons. So what more natural, what more organic, what more poetic than Mallory offering her death to Mickey? It's where it's been leading since day one. We worked it in the movie by using a what if they escaped situation. I think it works beautifully. You'd be surprised. People come up to me at the end of the movie in tears.
jessie		One thing about Mickey for sure, he's definitely a man who has his moments. It was wild playin' him. It was one of those get-it-out-of-your-system performances.
buffy		I didn't play Mallory, the murderer. I didn't play her as a butcher. I played her as a woman in love, who also happens to murder people. I didn't want her to be at arm's length from the audience or myself. If you play her as this wild maniac, the audience never has to deal with her. If you see a decapitation in a movie, you just say 'Oh wow, a neat special effect.' Because you can't relate to a decapitation. It doesn't mean anything to anybody because it's not personal. Decapitations don't fall into most people's realm of life experiences. But if you show somebody in a movie getting a paper cut, the whole audience squirms. Because everybody can relate to a paper cut.
buffy		I tried to, but she wouldn't see me. But I read some letters she wrote to Mickey before the murder spree. They helped me out a lot.
jessie		Yeah, I visited him when he was up in Susanville. He's a little cerebral for my taste, but all in all, we got along.
wayne		Can you shed some light, Doctor Reinghold, on why the public has taken a pair of sociopaths so close to their bosom?
london boy		You take all the great figures from the States...Elvis, Jack Keroac, Bukowski, James Dean, Jim Morrison, Angela Davis, Jack Nicholson, Jim Thompson, Martin Scorcese...add a bloody pale of nitro and you got Mickey and Mallory. They're like rebels without a cause, except they have a cause. Only nobody knows what it is.
london girl		 Their cause is each utter!
french boy		 They are super cool!
wayne		And as to almost give this whole misplaced admiration scenario a cherry on the top, the rock band Redd Kross entered the charts last week at number 13 with their song 'Natural Born Killers, The Saga of Mickey and Mallory.'
wayne		The third wicked twist to this story is Grace Mulberry.
transient		Did ya watch your brother get stabbed up?
wayne		How do you feel about Mickey cross- examining you?
wayne		Mickey, how do you feel about cross- examining Grace Mulberry?
mickey		I'm keen with anticipation.
mallory		I ain't never had so much fun.
cute reporter		Do you have any regrets?
mallory		Not a one.
mickey		Yeah, I always regretted we never got around to looking up my old history teacher, Miss Bainbridge. Now there's a big bad bitch not good for herself or nobody.
black reporter		What's your favorite pastime?
mickey		You mean aside from what I'm being tried for?
mickey		Oh, I'd say watching TV.
reporters		What's your favorite show?
mickey		'Have Gun Will Travel.'
cute reporter		Do you have anything to say to your fans?
mickey		 You ain't seen nothin' yet.
wayne		 No, apparently we had not seen everything. Grace Mulberry gave her tearful testimony. Then it became Mickey Knox's turn for cross- examination.
cut to:		 COURT SKETCHES: An artist SKETCH of Mickey cross-examining Grace on the stand.  BISBING  Grace was every bit as terrified, every bit as haunted. But she felt her brother Tim and her five girlfriends were counting on her.
mickey		That's one helluva story, Miss Mulberry.
grace		Yes it is.
mickey		Grace...I hope you don't mind if I call you Grace...
mickey		Grace. I'd like to talk to you about your late brother Tim, if you feel up to it.
mickey		Grace...I hope you don't mind if I call you Grace...
mallory		Naw, she don't mind.
mickey		Grace. I'd like to talk to you about your murdered brother Tim, if you feel up to it.
mickey		Miss Mulberry?
grace		More or less.
mickey		More or less...
mickey		What do you mean by that?
grace		Well, he's my older brother. When we were growing up, there were times we could of very well done without each other. But when it counted, we were close.
mickey		I'd like to talk about Tim's martial arts abilities. How long had he been studying?
grace		He started when he was in the seventh grade, so that would make it nine years.
mickey		When you study the martial arts, they give out belts that come in different colors to signify what level you're at in your training. Am I correct on that point?
grace		Yes you are.
mickey		What was the color of Tim's belt?
grace		The style of fighting that Tim studied didn't believe in belts.
mickey		Is that a fact? Well then, Grace, could you tell us what form of martial arts it was that Tim was schooled in?
grace		Tim studied several styles, but his favorite was Jeet Kune Do.
mickey		Jeet Kune Do...Now I did some research on that form of fighting, and I found out that Jeet Kune Do was a style developed by Bruce Lee. Did you know that?
grace		Yes, I did. That's why Tim studied it. Because it was Bruce Lee's fighting style.
mickey		Now, while I freely admit total ignorance on the subject, I have heard of Bruce Lee. And I was under the impression that Bruce Lee was one of the, if not the greatest fighter in the history of martial arts.
grace		That's what Tim said.
mickey		So, I think it would be safe to say that anybody who studied the fighting style that Bruce Lee, arguably the greatest martial artist of all times, developed for nine years, that would be a fella who could defend himself. Would you describe Tim that way, Grace?
grace		Yes, I would.
mickey		Point of fact, weren't Tim's hands registered as lethal weapons?
grace		Yes, they were.
mickey		That means his hands are considered a weapon like a gun or a knife. Am I correct on that point?
grace		Yes, you are.
mickey		Yet, in your testimony just now, you described that Tim...
mickey		And his trained martial artists kicks had little to no effect.
mickey		Then, after shrugging off four blows to the head like I was Superman, I lifted Tim-nine-years-of-Jeet-Kune-Do-Mulberry off the ground and threw him across the room.
mickey		Then I took...
mickey		...this knife and proceeded to tear him limb from limb. And this man, whose hands are lethal weapons---
bisbing		Objection, defence is intimidating the witness with the murder weapon.
grace		 I don't know how you did it, but you did it!
judge steinsma		Mr. Knox! The knife!
mickey		How do you think a human being could possibly be capable of doing something like that?
grace		 I don't know!
mickey		Now...I don't believe that Grace. I think you have a definite opinion on how I was able to do those things you described. Now, I'm going to ask you again. And I want you to remember you are under oath.
grace		 You're not human.
grace		I thought about it a lot. And the only thing I could figure is that you're not human.
grace		You're a vampire, or the devil, or a monster, or cyborg, or something like that. But you're not human.
mickey		 Thank you. Grace, there is one other thing...
grace		 What...
mickey		You're right.
mallory		Show off.
mickey		No further questions your honor.
wayne		Was there any vengeance on your part with your unique sentence?
judge steinsma		Yes, unquestionably. After they did what they did in my court, and judge worth his robe will tell you the same thing. It couldn't help but affect my decision. That's why they have judges. We're supposed to be fair to a fault, but when it's showtime, we have to make a decision. That's why we don't just input all the facts into a computer for the appropriate punishment. I couldn't give them the death penalty. See, California hops back and forth on that issue. Mickey and Mallory went to court when it was out of favor, which is actually good because it leaves more room for imagination. Anybody can give somebody the chair. When you have someone who deserves to die and you can't kill them, you have to be creative. And if the bastards had let it stand, it would of been the perfect sentence. It hit 'em right where they lived. Far more punishing than the death sentence.
wayne		Would you please describe for our viewers what your sentence was?
judge steinsma		Well, in a rogue's gallery of killers, Mickey and Mallory are very unique. I've seen a lot of killers in my day and they're a very cold lot. They have no more feelings about taking a person's life than squashing a tiny bug. It's all the same to them. Well, Mickey and Mallory were that 'kill 'em to watch their expression change' attitude personified. Except with each other. And, since they lived only for each other, I wanted to attack that, at its very root. So, in a nutshell, my sentence was double life for each without any possibility for parole. That would be fairly standard in their case. The twist I added was that the husband and wife would have no contact or correspondence with each other for the rest of their lives. And they would never receive any word or information about the other. So, basically once the cell door slams shut, Mickey and Mallory will completely disappear from each other's life. They'll never know when the other dies. But alas, the best laid plans of mice and men...
wayne		Why are Mickey and Mallory being moved to an asylum? And who made the decision?
mcclusky		The prison board made the decision. A board of which I belong. We're the who. The why is simple. Mickey and Mallory are mentally ill and need to be under a doctor's care, where hopefully they'll receive the help they need.
wayne		Mickey and Mallory were deemed competent in a mental examination before their trial. I'm confused. What's changed?
mcclusky		Well, since that time, they've killed one person during their trail. And since their incarceration, they've killed one psychologist along with several guards and inmates.
wayne		When they were found competent before, they had already killed fifty people. Other than the fact they're a disciplinary problem, which frankly shouldn't surprise anyone, I still don't see where this situation is any different then it was before. So, I ask you again, Mr. McClusky, what's changed?
mcclusky		What's changed, Mr. Gayle, is our minds. We felt they were competent a year ago. A year has passed, sir, a year where they were under close observation, day in and day out, and their behaviour has led us to believe we were wrong.
wayne		Who is we?
mcclusky		The prison board and the doctors who examined them.
wayne		Were any of the doctors who made the first evaluation on the Knoxs mental state asked to re-examine them?
mcclusky		Using the same doctors is not common practice.
wayne		I take it by your answer it was a whole new team?
mcclusky		Now that you bring it up, yes. They were different men. I hadn't really thought that much about it. Since many psychiatric opinions are, by a rule, sought out for this kind of situation. What do you think normally happens? The Knoxs are assigned a family psychologist that takes care of them throughout the rest of their lives? The state doesn't work like that.
wayne		So, in your opinion Mickey and Mallory are not insane?
wayne		Good work, my brothers. Fan-fuckin'- tastic! I think that interview stuff's too long, we can lose some of that. Keep the girls, keep the long hairs, keep the Hun brothers, keep the black guy, keep the movie shit, and keep the cop at the donut shop. Lose the rest. And cut the interview with the prison board fellow before that. Cut it after I ask, 'I take it by your answer it was a whole new team.' Don't even let him answer. Fuck him. Then cut to me talking about the two chicken shit psychiatrists and straight in Dr. Reinghold laughing.
scott		Okay.
wayne		Children, we have a show.  You two get some long well overdue sleep. 'Cause tomorrow, bright and early, county jail and then journey's end...Mickey Knox.
mickey		There's this Italian guy, a French guy, and a Polish guy. And they're all talkin' about how they fuck their wives---
mickey		...You know, I'm gonna just rip off your dress and squeeze your titties. Then Little Red Riding Hood whips out her .357, sticks it in the Big Bad Wolf's face and says, 'No you're not. You're gonna eat me...just like the story says.'
mickey		 ...Fairy boat! I knew things were good in here, but I didn't know we had our own Navy.
mickey		...So this guy wants to take little Johnny's sister to the drive-in. But the mother says, 'Only if you take little Johnny along---'
mickey		...And the Polish guy says, 'That's nothing. When I get through with my Hanna, I get up, wipe my dick on the curtain, and she hits the roof!'
mickey		No...please...thank you...you're too kind...no...please...
wayne		 How's it working, Scotty?
roger		Where the fuck's the chocolate cream filled? Did anyone get my chocolate cream filled? If you did, it's mine.
roger		I pointed at a chocolate cream filled. You saw me do it, didn't you?
wayne		You were there. Did you see him put it in a box?
roger		At the time, I was too busy explaining to Scott the finer points of film.
wayne		 You can't be serious?
roger		 I'm as serious about that as I am about going back to the donut store, and dipping that stupid Mexican's head into the batter for forgetting my chocolate cream filled. Gimme that other box.
wayne		Huh uh. This dozen is for Mickey.
roger		That dumbass probably put my chocolate cream filled in there by mistake.
wayne		Roger, no.
roger		What's the big deal? Take out my chocolate cream filled, put one of these roasted coconut---
wayne		Roger, do you understand what the word 'no' means? It's important we establish a rapport. Something as simple as a dozen donuts can mean the world to somebody who hasn't had a donut in a year.
roger		So you're giving a man who butchers whole families, little babies included, my chocolate cream filled?
wayne		Okay, guys, we're here. L.A. County Jail. Julie, just park in the front.
roger		Wayne---
wayne		Roger, I'm starting to get pissed. Just drop this fuckin' donut shit, and gather your gear.
wayne		 Here's the welcome wagon.
wurlitzer		Hello, Mr. Gayle. I'm Phil Wurlitzer. We talked on the phone. It's a pleasure to meet you.
wayne		Same here. Let me introduce my crew. Scott...Roger...and Unruly Julie ...this is...I'm sorry. What's your title again?
wurlitzer		I'm the superintendent here at L.A. County Jail. Me and my deputies are who you'll be working with while you're here.
wayne		That sounds great. Look, I don't want any of this to intimidate you. This is not going to be a big deal. This is going to be very easy.  I need to talk with Mr. Wurlitzer. You guys get your equipment ready, power up the van and confirm a transmission code for the remote. Julie come with me.
wayne		The main thing I need is a big room, shut off from the population, so we can get some privacy...with a few electrical outlets.
wurlitzer		 This is just for an interview, I was on the set of 'Dukes of Hazzard' once. It was a much bigger deal than this. They had a crew of maybe seventy-five people.
wayne		We're gonna be talking over here. But I want enough freedom so if I wanna get up and move around, we can.
wayne		Take him and walk him over this way.  Then maybe take him to the window.
wayne		 Little shit like that. I don't wanna have to feel I gotta stay in the chairs. We're after a cinema verite, anything can happen, truth twenty-four times a second kindda feel.
wurlitzer		And when it's lunch time, they don't just go to McDonalds. They got cooks there servin' great food. Swedish meatballs...
wurlitzer		How's everything coming, Mr. Gayle?
wayne		Everything's coming along just fine. Phil, I wanted to know if I could have a small word with you.
wurlitzer		By all means.
wayne		You met the kids I have working for me? Great bunch, aren't they?
wurlitzer		Oh yes, indeed. Top flight.
wayne		Scott, genius cameraman, Roger, magician with sound. Unruly Julie, I could sooner do without my arm than Unruly Julie.
wurlitzer		Is that her real name?
wayne		Just a little nickname. Yep, they're my kids and they're all I need. After working together these past coupla years, we're like well-oiled machinery. No, more like a Formula race car. No, scratch that one, too. What we're really like is a Swiss watch. Small, intricate, compact...it shouldn't work as well as it does, but it does. Because of the craftsmanship, the expertise, and the artist's loving hand.
wurlitzer		I see.
wayne		Now, Phil, I don't know if you've ever been on a set before---
wurlitzer		 Ya know, I was.
wayne		 Really?
wurlitzer		I was on the 'Dukes of Hazzard' set about eight years ago.
wayne		 Well...small world. Well, then, you know firsthand how Hollywood does things. Lights all over the place, generators, a hundred and fifty crew members---
wurlitzer		Oh, that 'Dukes of Hazzard' show, there was probably ninety-five people there, maybe more.
wayne		See what I mean? It's a funny business, isn't it?
wurlitzer		It sure is.
wayne		They got a asshole over here.  ...you're not going to relax, a trust won't develop, we'll be talking a each other instead of to each other, there will be no chance for intimacy.
wayne		That's why my crew is only three...an invisible three.  Which brings me to what I wanted to talk to you about. I have to get Mickey Knox to relax...Mickey Knox to share what he's never shared before... Mickey Knox to open doors which 'till today have been closed. Well, how can we expect him to do that when we got Los Angeles County Sheriffs up the walls.
wurlitzer		 Well, just what the hell do you expect me to do?
wayne		Lose 'em.
wurlitzer		Mr. Gayle, do you have the slightest idea how dangerous Knox is?
wayne		Mr. Wurlitzer, I assure you, I am very familiar with Mickey Knox's career.
wurlitzer		Since he and his wife have been in custody, they've killed---
wayne		Don't recite the fact to me. I'm sure I know 'em better than you do.
wurlitzer		Well, let me let you in on one more fact you obviously don't know. If I were to take my men away, Mickey Knox would snap your neck like a twig.
wayne		One...I can take care of myself. I grew up in a tough neighbourhood, and I've handled some pretty rough customers in my day. Mickey Knox doesn't scare me. Two...I'm a journalist, and I'm prepared to take that risk. Three...it ain't gonna happen. Believe me when I tell you, it is in Mickey Knox's own best interest to play this game according to Hoyle.  But seriously, Phil, look at this.
wayne		 We got one...two...three...four ...five...six...seven...eight. I mean Jesus Christ, Phil, that's too much. Let's lose some of these guys.
wurlitzer		Wayne, if it was anybody else---
wayne		Phil, I'm just scared he's gonna clam up on me with all these sheriffs all over the place. They hate him. He hates them. What kinda intimacy am I gonna create with all this hate in the air. Even you and I feel it.
wurlitzer		What are we talking about?
wayne		Two guys?
wurlitzer		Okay. I'll take two guys off.
wayne		No, no, no, no, no, no, I mean only two guys.
wurlitzer		I can't do that. Five guys.
wayne		Three.
wurlitzer		I'll cut it in half. Four guys, but that's it.
mickey		Now what you're supposed to say is: 'Five minutes, Mr. Knox.'
scagnetti		Beautiful day for a drive, isn't it?
scagnetti		It's a long trip to Bakersfield. Long and hot. Ever been to Bakersfield?
scagnetti		See, I've been there twice. And I'm not lookin' forward to goin' back. But I'm in and out. You, on the other hand, sweetheart, are gonna spend the rest of your life there. Now that's what I call cruel and inhuman punishment.
scagnetti		Course you're not gonna give a shit. 'Cause when the good doctor's get through givin' you the zap...  ...You won't know where the hell you are. They'll just put you on a window sill, and water you every other day.
wayne		 And when he gets here, its no dick'n around time. Make him up, clip a mike on him, then leave him alone. I don't want you talking to him. I don't want you getting in his face. I want you hiding behind your gear. You are invisible.
wayne		 Okay, break.
wurlitzer		Okay, boys, lets start undoing him.
mickey		 Okay now, before we get started here, there's a few things we have to get clear about.
wayne		All right, Mickey.
mickey		Let's discuss it when I'm unbound.
bingham		Turn around and face the wall!
scagnetti		Wait outside for a second, fellas.
bingham		We're not supposed---
scagnetti		Don't worry about it.
scagnetti		Want a smoke?
scagnetti		C'mon, I already lit one for you. I know you smoke.
scagnetti		I was reading the file on you. You know what it said during your trial, whenever they put you on the stand, no matter what they asked, your answer was always the same...'I love Mickey.' It also says that when they gave you a polygraph, 'I love Mickey' was the only thing you said that registered as the truth.
scagnetti		Who are you supposed to be? Squeaky Fromme? Is that it? Is Mickey your Charles Manson? Is Mickey Jesus? Is that the attraction? Or does he just got a big dick?
scagnetti		That's it, isn't it? Mickey's got a big donkey dick.
scagnetti		Can you remember the last time you fucked? Huh? What I want you to do is close your eyes and remember... remember the last time ol' Mickey gave you the high hard one. Are ya thinkin' about it? Good. Remember it. Don't ever forget it cause it ain't never gonna happen again. Cause when they get through with all that electroshock shit they got lined up for you two, Mick's dick ain't gonna be worth shit.
scagnetti		Look. You're gonna sit here for a couple hours while I finish up the arrangements. The reason they picked me to be your chaperone is they know I won't hesitate to put a bullet in you.
scagnetti		So, during our journey, if any wild hairs spring up on your ass, you'd better slap a muzzle on 'em! Fuck with me, bitch, even a little bit, you're gonna get accidentally shot! Comprehende?
scagnetti		She broke my fucking nose! That bitch broke my nose!
scagnetti		 She broke my nose.
washington		I'll fix it.
scagnetti		Hold her, boys.
scagnetti		I want this filled before we leave.
mickey		 How come you never talk?
roger		She was born without a tongue.
mickey		 Sorry.
wayne		So we got a deal. Four deputies---
wurlitzer		And me.
wayne		Why don't we make it three deputies and you?
wurlitzer		Why don't I have Mickey thrown back into his cell and we can forget the whole thing?
wayne		Chill out, Phill. Four deputies and you, I can live with that. We're about ready to go here, so let's get rid of these other assholes.
wurlitzer		Don't call my men assholes.
wayne		I didn't mean they were assholes. I mean if they're leaving, get 'em outta here.
wayne		Okay, Scotty, we're stuck with four of these assholes. Now I want to create the illusion that this is just Mickey and I chewin' the fat all by ourselves. So make sure you don't film these assholes. I don't want to see 'em on film ever. Oh, and 'Live at Five' slated our spot as human interest which means we'll go live at just after five-thirty.
wurlitzer		This asshole's tryin' to tell me what I'm gonna do in my jail. Fuck him! This nanderfuck doesn't know what he's dealin' with here, but we do. And if shit happens, he ain't gonna be responsible, we are. So keep your shotguns out, your fingers on the triggers, and be ready to fire at a moment's notice.
roger		Say something.
mickey		 What?
roger		Anything.
mickey		 I stand amid the roar Of a surf tormented shore, As I hold within my hand Grains of the golden sand-- How few! yet how they creep Through my fingers to the deep, While I weep--while I weep! O God! can I not save One from the pitiless wave? Is all that we see or seem But a dream within a dream?
mickey		 How was that?
roger		Ah...fine. Let me make an adjustment here, and we'll be ready to rock 'n roll. Oh...uh, the dumbass at the donut place put a chocolate cream filled I asked for in your box.
mickey		There's a chocolate cream filled in there?
roger		Yeah. Ya see, I ordered that special.
mickey		Tough titty, it's mine now.
roger		Look, I'll trade you.
wayne		Roger, enough with the fucking donuts! What did I tell you. Stop bothering Mickey, and get behind your nagra.
roger		 Fine. Roger, what the hell are you doing? You're bothering the serial killer.
wayne		Sorry about that.
mickey		Don't worry about it.
wayne		We're about ready to go here. Are you ready?
mickey		Let's do it.
wayne		So, Mickey, tell us what you do for fun.
mickey		Aside from the obvious?
wayne		 Yes. Aside from the obvious.
mickey		Okay, let me see now. What do I do for fun?  Sorry out there in TV land. I'm just sittin' here lookin'' at these deputies smokin' up a storm, and it's really doin' it to me.
mickey		Much obliged. What do I do for fun? Do you want to know what I do for fun or what I did for fun?
wayne		What? Oh, aaahhh, what you did for fun for starters.
mickey		What I did for fun for starters.  No, scratch that. Let me think of something else. In fact, why don't we come back to that question. Ask me something else.
wayne		Do you miss Mallory?
mickey		Of course, I miss Mallory. She's my wife. I haven't seen her in a long time. What a stupid question.
wayne		Then was it worth it?
mickey		Was what worth it?
wayne		Was massacring all those people worth being separated from your wife for the rest of your life?
mickey		Do you think up these questions or the girl with no tongue?
wayne		No, Mickey, I can't let you get away with that shit. Answer the question. Was it worth it? You haven't seen, heard, or smelled Mallory in a year. Was it worth it?
mickey		Was an instant of purity worth a lifetime lie? Yeah, it was.
wayne		Excuse me, did you say an instant of purity? What was the instant of purity? The bodies you left behind on your bloody trail?
mickey		That's only part of it. I mean, it's a big, big, big part. But it's only the chorus, it's not the whole song.
wayne		 Please explain to me, Mickey, where's the purity that you couldn't live without in five year old Danny Millhouse's blown off head? Where's the purity in forty-eight people who are no longer on this planet because they met you and Mallory? What's so fucking pure about that?
mickey		Where the purity comes into play---
mallory		 Love is a hurtin' thang, and it leaves a fiery sting.
wayne		You just said an instant of purity was preferrable to a lifetime lie. I don't understand. What's so pure about forty-eight dead bodies?
mickey		You'll never understand. Me and you, Wayne, we're not even the same species. I used to be you...then I evolved. From where you're standing, you're a man. From where I'm standing, you're a ape. I'm here...I'm right here... and you...you're somewhere else, man. You say why? I say why not?
wayne		Tell me about the purity.
mickey		 It's not that easy, Wayne. Donuts and a smoke only get you so far. You're gonna have to do your job.
wayne		 Okay...okay...I'll buy that. We'll move on and come back later.
mickey		I'm sure we will.
wayne		Describe Mallory.
mickey		Describe Mallory? Okay. She's pretty, she's got blonde hair, two eyes, two feet, two hands, ten fingers...
wayne		Don't play dumb with me, Mickey. You know what I mean. Describe Mallory.  What's in here?
mickey		That's indescribable.
wayne		Well, riddle me this, Batman. How do you feel about the fact that you're never gonna see Mallory again?
mickey		 Says who?
wayne		Says the United States of America.
mickey		 When have they ever been right?
mickey		Hey, just like Soupy Sales.
mickey		...one night I was asleep, and a noise wakes me up. I thought, 'Oh shit, somebody's broken in.' I didn't own a gun, so I go into the living room with a fucking umbrella. Okay, it turned out to be nothing. God made the noise. Who knows?
scagnetti		 How's it goin'?
wurlitzer		 Shhhh! I wanna hear this.
wurlitzer		What the hell happened to you?
scagnetti		You should see the other bitch. What time you got?
wurlitzer		Two-thirty. Shhh...
mickey		But I came to the direction I need a gun. Do, the next day I started off early for work, and I'm gonna stop by a gun shop and pick up a little home protection. I walked into the place and had never seen so many guns in all my life. So, I'm lookin' around, the this really nice sales guy comes up to me. His name was Warren. I'll never forget his name. He was really nice. Anyway, Warren showed me all these different models of guns. Magnums, automatics, pistols, Walters. And I ask to see a shotgun. He brings me a Mossberg pump action shotgun. As soon as I held that baby in my hands, I knew what I was gonna do. It felt so good. It felt like it was a part of me. They had a mirror in the store. I looked at myself holding it, and looked so fuckin' good, I immediately bought it. Bought a bunch of boxes of ammo. Turned my car around, drove to Mallory's house, we took care of Mallory's parents, packed up the car, and we were off.
mickey		Everybody thought I'd gone crazy. The cops, my mom, everybody. But you see, they all missed the point of the story. I wasn't crazy. But when I was holding the shotgun, it all became clear. I realized for the first time my one true calling in life. I'm a natural born killer.
wayne		Okay, let's cut it.
wayne		 Did ya get that?
scott		It's gonna be beautiful.
wayne		Super cool.  This is great stuff. How ya doin'?
mickey		I could go for a Coke.
wayne		 Could I get a Coke for Mickey?
wurlitzer		I'm not running out and getting that piece of shit a Coke.
wayne		Fine.  What's around here?
deputy sheriff		There's an In and Out Burgers about a block away on Olive. It's walking distance.
wayne		Okay, Julie, take everybody's order. I'll have a double double with cheese, french fries, and a large Coke.
wurlitzer		Are you all set?
scagnetti		Yeah. Bus is all gassed up and ready to roll.
wurlitzer		I assigned you Bingham and Washington to go along.
scagnetti		Yeah, we met. They're good men.
wurlitzer		They're real Goddamn good. They'll be there for when ya need 'em. Where are they?
scagnetti		Waitin' in the lounge.
wurlitzer		How 'bout Mallory?
scagnetti		Coolin' her jets in a holding cell.
scagnetti		Nothing for me. I'm leavin'.
wurlitzer		Me, neither. I don't eat meat.
deputy sheriff		Capt'n!
wurlitzer		Yeah?
deputy sheriff		They need you. Emergency!
wurlitzer		 For the love of Pete...okay...okay ...okay. Mobilize the men. I'm on my way.
mickey		I'll have a four by four. That's four patty burgers. Now they don't have that on the menu, but if you order a four by four, they'll know what you're talking about. A large Coke and two orders of fries.
mickey		You guys wanna hear a joke I heard?
mickey		Now, I'm no comedian, but it's pretty funny. It's a Little Johnny joke. Now in the joke, Little Johnny can't talk. And Little Johnny's teenage sister asks her mother if she can go out on a date.
mickey		The mother asks, 'Where's he taking you?' The sister says, 'The drive-in movie.' The mother tells her she can only go if she takes Little Johnny with her. She says okay. They go to the drive-in, they come back. The mother gets Little Johnny and says, 'Okay, what happened? Where did ya go?'
mickey		Mother says, 'The drive-in movie. What did they do?'
mickey		'They kissed. What else?'
mickey		'He felt her up? What else?'
mickey		 'They took off their clothes? What else?'
mickey		'They did it? What were you doing?'
mickey		Looks like we got a Mexican standoff.
scagnetti		Slide the shotgun over here, put your hands behind your head, put your forehead on the floor.
mickey		Or what? You'll wound me? I can blow you in half and you know it.
scagnetti		I've never wounded anything in my life. I got you locked right between the eyes.
mickey		If you don't drop that toy, I'm blowin' you in half on three. So, if you got me locked, take the shot. One...
mickey		Three!
scagnetti		Hold it! Don't shoot!
mickey		Open the chamber. Empty the shells.
mickey		Toss it.
mickey		Now put your hands behind your head.
mickey		Did you ever see 'Eldorado?'
scagnetti		What?
mickey		You guys stay on your bellies.
roger		Yes, sir.
mickey		I am the most dangerous man in the world.
mickey		 I'm the law breaker.
mickey		Donut, get your camera. See if it's broke.
