****Dialogues from script :10_Things_I_Hate_About_You.txt****

rider		Hey -- sorry.
ringle		What do you need?
bernstein		Someone inside the White House would be nice.
ringle		 Call her. She worked for Colson, if that's any help.
girl		Kenny's crazy, I never worked for Colson, I worked for an assistant. Colson was big on secrets anyway. Even if I had worked for him, I wouldn't have known anything.
bernstein		Nothing at all you can remember?
secretary		 Now if it was Hunt you were interested in--
bernstein		--Howard Hunt?
secretary		Sure. Him I liked, he was a very nice person. Secretive too, traveled all over, but a decent man.
bernstein		Any idea what he did?
secretary		Oh, the scuttlebutt for awhile was he was investigating Kennedy--
bernstein		--Teddy Kennedy?
secretary		Sure. I remember seeing a book about Chappaquiddick on his desk and he was always getting material out of the White House Library and the Library of Congress and--
bernstein		White House Library, please.
bernstein		Hi. Carl Bernstein of the Washington Post. I was just wondering if you remember the names of any of the books that Howard Hunt checked out on Senator Kennedy.
bernstein		--what do you think?--
woodward		--Hunt doesn't seem like your ordinary consultant.
bernstein		Maybe a political operative of some sort--
woodward		--a spy, you mean?
bernstein		It makes sense; Hunt worked for the C.I.A. and the White House was paranoid about Teddy Kennedy.
bernstein		Yes, ma'am.
librarian		You want all the material requested by the White House?
librarian		All White House transactions are confidential.
woodward		You think they are confidential? I don't know anything about how this town works, I haven't lived here a year yet.
bernstein		We need a sympathetic face.
young clerk		You want every request since when?
bernstein		 When did Hunt start at the White House?
bernstein		About the past year.
clerk		 I'm not sure you want 'em, but I got 'em.
clerk		I can't believe you guys are actually doing this.
bernstein		That was fun.  What now?
woodward		I met a Presidential aide once at a social occasion.
bernstein		 And you haven't called him?--
rosenfeld		 OK, we'll leave space for the White House denial and we should be set.
rosenfeld		Benjy, we got a present for you. Above the fold on page one for sure. It may not change our lives one way or the other. Just a good, solid piece of American Journalism--  --that The New York Times doesn't have.
bradlee		You haven't got it.  Not good enough.
woodward		I was told by this guy at the White House that Hunt was investigating Teddy Kennedy.
bradlee		How senior?
woodward		 You asking me to disclose my source?
bradlee		Just tell me his title.
woodward		I don't know titles.
bradlee		Is he on the level of Assistant to the President or not?
bradlee		Get some harder information next time.
deep throat		I saw the flag signal--what's up?
woodward		Nothing, that's the problem--the story's gone underground.
deep throat		You thought I'd help out on specifics?  How much?
woodward		I don't know maybe sixteen, eighteen hours a day--we've got sources at Justice, the FBI, but it's still drying up.
deep throat		Then there must be something, mustn't there. Look, forget the myths the media's created about the White House-- the truth is, these are not very bright guys, and things got out of hand.
woodward		If you don't like them, why won't you be more concrete with me?
deep throat		Because the press stinks too--history on the run, that's all you're interested in.  You come up with anything?
woodward		John Mitchell resigned as head of CREEP to spend more time with his family. That doesn't exactly have the ring of truth.  Howard Hunt's been found--there was talk that his lawyer had 25 thousand in cash in a paper bag.
deep throat		Follow the money. Always follow the money.
woodward		To where?
deep throat		 Go on.
woodward		This man Gordon Liddy--he's going to be tried along with Hunt and the five burglars--we know he knows a lot, we just don't know what.
deep throat		 You changed cabs? You're sure no one followed you?
woodward		I did everything you said, but it all seemed--
deep throat		--melodramatic?  Things are past that--remember, these are men with switchblade mentalities who run the world as if it were Dodge City.
woodward		What's the whole thing about--do you know?
deep throat		What I know, you'll have to find out on your own.
woodward		Liddy--you think there's a chance he'll talk?
deep throat		Talk? Once, at a gathering, he put his hand over a candle. And he kept it there. He kept it right in the flame until his flesh seared. A woman who was watching asked, "What's the trick?" And he replied. "The trick is not minding."
bernstein		What's that?
woodward		The fucking New York Times.
bernstein		Goddamnit--
woodward		--see?--
bernstein		--I'm trying--
woodward		--fifteen phone calls--
bernstein		---fifteen or more phone calls from the burglars in Miami to Gordon Liddy at CREEP--
woodward		Why didn't we get that?
bernstein		Christ, and I even know somebody at the phone company--
woodward		--you do?--with access to records?
bernstein		Why couldn't you have just dialed me from the office, Irwin?
irwin		'Cause I'm not calling out from the phone company anymore--  --I think the place is bugged.
bernstein		 So tell me about the Times article.
irwin		What do you want to know?
bernstein		No games, Irwin; give.
irwin		 What're you onto?
bernstein		Something maybe big.
irwin		And that makes anything you do OK, is that it?
bernstein		Just tell me about the goddamn article.
irwin		 It was accurate, but I can't get a fuller listing for you--all Barker's phone records have been subpoenaed.
bernstein		Who by?
irwin		A Miami D.A. The guy doing the investigating is named Martin Dardis. 
bernstein		Irwin? I really feel bad, doing something like this--you know that, don't you?
irwin		Don't give me any more of your liberal shit, OK, Carl?
bernstein		Harry, I just talked to a Miami investigator about Barker--
rosenfeld		--so?
bernstein		I think it might be helpful if you'd send me to Miami.
rosenfeld		I'm the one sent you to Toronto, Bernstein--
bernstein		 --that was awhile ago--
rosenfeld		--"I think it might be helpful if you'd send me to Toronto." That was your spiel then. "The Lifestyles of Deserters."  I'm still waiting for it.
bernstein		Down to Miami and back--how much damage can I do?
rosenfeld		You're the fella who forgot he rented a Hertz car, do I have to tell you they didn't forget to send us the bill?
rosenfeld		I can predict the next words you're gonna say: "anyone but Bernstein."  I want to send a reporter to Miami.
simons		Anyone but Bernstein.
rosenfeld		Howard--
simons		--remember Toronto, Harry.
rosenfeld		That was awhile ago.
simons		I don't get it--you were the one who wanted to fire him.
rosenfeld		I know, I did, but damnit Howard--  For the first time since I've known him, I think he's really humping...
bernstein		 Oh...
bernstein		Hannah, I never would have bothered you but I'm off to Miami and they're gonna take away my ten speed unless I get it straightened out fast.
hannah		 Where are your bills, Carl?
bernstein		Oh, they're here. 
hannah		 You'd give a stranger the shirt off your back--except it wouldn't be paid for.
bernstein		Hey... very tense.
hannah		 How much did the damn bike cost?
bernstein		Five hundred; six maybe.
hannah		 You're two months behind--you got enough to cover?
bernstein		I think.
hannah		Give me your checkbook then.
bernstein		It's right under that pile.
hannah		I thought you had to get to Miami.
bernstein		There's always a later plane.
hannah		You're a sex junkie, you know that, Carl?
bernstein		Nobody's perfect.  I'm glad you're out of it, Hannah-- you're a terrific reporter and I turned you into a bookkeeper.
hannah		Aw baby, you can get it up... I just wonder if you'll ever be able to get it together.
bernstein		Hi, it's me. I'm still here.
secretary		 I'm so glad.
bernstein		I'd really like to see Mr. Dardis.
secretary		And you will.  But not now.
bernstein		I called him from Washington. He's the one who asked me to be here at eleven in the morning.
secretary		I told you, he had to go out on a case.
uniformed cop		Is it OK to go on back?
bernstein		Could you reach Mr. Dardis by car radio?
secretary		He is not in the car.  Sorry.
second cop		Hey, babe.
bernstein		Mr. Dardis does call in every so often?
secretary		Well of course.
bernstein		 Good. Just tell him I was here, that I'm sorry I missed him--
bernstein		Mr. Dardis' office, please.
secretary		Mr. Dardis' office.
bernstein		This is Mr. Tomlinson in the clerk's office. Could you come across the hall for a moment? We've got some documents your boss probably should see.
bernstein		Carl Bernstein's here to see you--I don't know why, but he seems angry--
bernstein		 Look, you've been jerking my chain all day. If there's some reason you can't talk to me--like the fact that you've already leaked everything to The New York Times--just say so.
dardis		Listen, I've got a dinner--can't we do this tomorrow?
bernstein		 I'm on deadline.
dardis		You want Barker's phone stuff or his money stuff?
bernstein		Whatever.
dardis		I'll never get out of here in time.
bernstein		 The telephone calls... we know about that.
dardis		The rest is Barker's bank records. It's mostly the eighty-nine thousand in Mexican cashier's checks--
bernstein		--yeah, that was in The Times this morning.
bernstein		 What's this Dahlberg check?
dardis' voice		That the twenty-five grand one?-- Don't know--
dardis		I never could figure just who this Dahlberg was.  Think it might be anything?
bernstein		 Naw...
bernstein		--Woodward--Woodward, listen, I don't know what I got--  --but somewhere there's a Kenneth H. Dahlberg in this world and we've gotta find him--
researcher		Were you after the Dahlberg articles from the files?  There aren't any, sorry.
woodward		Whazzis?
researcher		 Our Dahlberg file.
rosenfeld		--Woodward's talking to him know.
woodward		--this should take only a minute, Mr. Dahlberg, but we're doing a follow- up on the break-in--  --and I was kind of curious about your check.
woodward		The twenty-five thousand dollar one.  Bernard Barker, the Watergate burglar--
woodward		Yes, sir.
woodward		I see. And how do you think it reached Miami?
woodward		 That checks out with our finding, thank you, Mr. Dahlberg.
rosenfeld		CREEP financed the Watergate break- in, Jesus Christ.
woodward		One sec'--
simons		--OK, last go-round. Foreign, anything else?
simons		 National?
national editor		I'll stand with the Eagleton follow- ups and McGovern not being able to get a replacement--that's your page one stuff right there, Howard--
simons		--Metropolitan?--
rosenfeld		--you are ignoring the importance of the Dahlberg repercussions--
national editor		--nobody gives a shit about the Dahlberg repercussions--
rosenfeld		 --our story got Government Accounting to start an audit on CREEP's finances--
bradlee		--and we printed that, didn't we, Harry? And when the frigging audit's done, we'll print that too--
national editor		--let me tell what happened when I was having lunch today at the Sans Souci--
rosenfeld		--correction--when you were drinking your lunch at the bar of the Sans Souci--
national editor		--this White House guy, a good one, a pro, came up and asked what is this Watergate compulsion with you guys and I said, well, we think it's important and he said, if it's so goddamn important, who the hell are Woodward and Bernstein?
rosenfeld		Ask him what he's really saying--he means take the story away from Woodstein and give it to his people at the National Desk--
national editor		--well, I've got some pretty experienced fellas sitting around, wouldn't you say so?--
rosenfeld		--absolutely--and that's all they do, sit sit sit--every once in a while, they call up a Senator, some reporting--
national editor		--well, what if your boys get it wrong--
bradlee		 Then it's our asses, isn't it?
simons		 And we'll all have to go to work for a living.
foreign editor		I don't think either Metropolitan or National should cover the story.  I don't think we should cover the story, period.
bradlee		Go on.
foreign editor		It's not that we're using unnamed sources that bothers me, or that everything we print the White House denies, or that almost no other papers are reprinting our stuff.
simons		What then?
foreign editor		I don't believe the goddamn story, Howard, it doesn't make sense.
bradlee		It will, it just hasn't bottomed out yet, give it time.
foreign editor		Ben, Jesus, there are over two thousand reporters in this town, are there five on Watergate? Where did we suddenly get all this wisdom?
foreign editor		Look--why would the Republicans do it? --my God, McGovern is self- destructing before our eyes--just like Muskie did, Humphrey, the bunch of 'em.  Why would the burglars have put the tape around the door instead of up and down unless they wanted to get caught? Why did they take a walkie- talkie and then turn it off, unless they wanted to get caught? Why would they use McCord--the only direct contact to the Republicans?
bradlee		You saying the Democrats bugged themselves?
foreign editor		The FBI thinks it's possible--the Democrats need a campaign issue, corruption's always a good one.  Get off the story, Ben--or put some people on McGovern's finances; fair is fair, even in our business.
union guy		 What'd'ya think?
union guy		 Big fuckin' cookie jar.
bernstein		 This is practically a high school reunion for us, Jane--I would have sprung for a classier place.
jane		Anyplace really public, they'd know about it--they know everything at the Committee, Carl--
bernstein		--you don't really think you're being followed?
jane		This girlfriend of mine at the Committee, the other day she went back to the D.A. to tell the things the FBI didn't ask her. That night, her boss, he knew what she'd done. They control everything; that's how they know it all.
bernstein		FBI too?
jane		You don't believe me? Well, I was working the weekend of the break-in and my God, all the executives were running around like crazy--you had to practically wait in line to use the shredding machine--and when the FBI came to investigate, they never even asked me about it.
bernstein		If you don't like it down there, why don't you quit?
jane		I don't know what they'd do to me.
bernstein		 Hey, easy...
jane		 ...and I'm scared.
bernstein		 I can help if you'll--
clerk		We have no one by the name of Mitchell registered.
woodward		My mistake, sorry.
woodward		Get me John Mitchell, it's urgent.
woodward		Can I speak to Martha Mitchell, please.
woodward		I've met Mrs. Mitchell in Washington, I'm Bob Woodward of the Post and tell her--
first maid		We'll be back after lunch.
black man		 We'll be here.
second maid		I think they went out.
woodward		 I don't mind waiting.
bernstein		 Get anything?
woodward		For the paper, no; for us, plenty.  I waited a long time and finally this big guy--I guess a bodyguard-- he left and I knocked and she remembered me, we talked awhile.
bernstein		And?--And?--
woodward		 --she was panicked, Carl--every time I mentioned Watergate, you could tell.
bernstein		Were you eyebrow reading?
woodward		 It was there. I just don't get it; a CREEP secretary being scared, that's one thing. But what does the wife of one of the most powerful men in America have to be afraid of...?
bernstein		Left up ahead.
woodward		Who's first?
bernstein		Alphabetically, on the CREEP phone list, Miss Helen Abbott of South George Street.
bernstein		Now hang your second right--  --this was my turf when I was a kid.
bernstein		I don't get it... this really was my turf...
woodward		 You're not a kid anymore.
bernstein		 Just wanted you to know I've done dumber things than get us lost, that's all.
woodward		Hi. I'm Bob Woodward of the Washington Post and I hate to bother you at home--
woodward		No, I'm a reporter. I wanted to talk to you about the Committee to Re- Elect.
woodward		You work there, Miss Abbott.
woodward		Miss Abbott?
miss abbott		Yes?
woodward		We're from the Washington Post and we wanted to ask you some questions about the Committee.
miss abbott		I'm sorry--
old man		--go--you've got to go before they see you--please--
old woman		--no... good...
bernstein		You had the Mighty Mo and the fries without gravy, right? 
woodward		This is terrific work, if you like rejection.
bernstein		I never scared anyone before.
woodward		It's not us, they were scared before we got there.  What do we know?
bernstein		Facts or theory?
woodward		Anything you've got.
bernstein		We know there's got to be something or they wouldn't be so panicked.
woodward		And that something's got to be more than just Hunt, Liddy, and the five burglars--those indictments are gonna be bullshit when they come down. What else do we know?
bernstein		I just wish we knew when someone would talk to us, that's all.
woodward		A friend at the Committee told us to contact you--
woman		--who was it?
bernstein		We never reveal our sources, which is why you can talk to us.
woodward		It's safe, try it, you'll see.
bernstein		We understand your problem--
woodward		--you believe in the President, you wouldn't ever want to do anything disloyal.
bernstein		We appreciate your position--really.
woman		You people--you think that you can come into someone's life, squeeze what you want, then get out.  --do you like scaring the life out of decent people?--'cause if you don't, in the name of God--stop it!
woodward		At Yale once, they held an auction. There was this woman and her name was Lulu Landis. Her postcards came up for sale. She had 1400 postcards written to her and I'd never heard of her before but I knew I had to have those cards, I had to know why anyone would get so many messages. I paid sixty-five dollars for them... I got all crazy trying to work it out and first it was just a maze but then I found that her husband killed himself in Dayton, and once I had that, it all began to open, an evangelist had come to Dayton and his horses hit Lulu Landis at the corner of 13th and Vermillion and she was paralyzed. Permanently, and her favorite thing til then had been traveling and all her friends, whenever they went anyplace, they wrote her. Those cards, they were her eyes...
woodward		Democrats?
bernstein		I hate both parties.
woodward		And I'm a Republican.
bernstein		 Republican?
woodward		Sure.
bernstein		Who'd you vote for?
woodward		When?
woodward		Nixon.
younger man		--oh, don't worry, Gordon Liddy will be happy to take the fall for everyone because, well, it's not that Gordon's crazy, he's...  ...weird. I'll give you some Committee people who know about him--only don't tell it was me--
younger woman		--of course we were briefed on what to say--and never to volunteer anything--
old woman		--oh, we were never alone with the FBI, there was always someone from the Committee right there--
nixon		...No one in this administration, presently employed, was involved in this very bizarre incident...
nixon		...What really hurts in matters of this sort is not the fact that they occur, because overzealous people in campaigns do things that are wrong. What really hurts is if you try to cover it up.
woodward		Did he just say what I think he said?
bernstein		You voted for him.
bernstein		Hi, I'm Carl Bernstein of the Washington Post and--
woman		--oh, you don't want me, you want my sister.  For you.
bookkeeper's sister		This here is Carl Bernstein--
bookkeeper		--omigod, you're from that place, you've got to go.
bernstein		Could I bum one of your cigarettes?--
bernstein		--don't bother, I'll get it.
bookkeeper		You've really got to go.
bernstein		Just let me get a match.
bernstein		But I want you to know that I understand why you're afraid--a lot of good people down there at the Committee are afraid. I'm really sorry for what you're being put through.
bookkeeper		All those articles you people write-- where do you find that stuff?
bernstein		We don't tell anyone that. Which is why you can talk to us. And if we can't verify what you say someplace else, we don't print it. That's another reason you can relax.
bookkeeper		 I'm relaxed--light your cigarette.
bernstein		You were Hugh Sloan's bookkeeper when he worked for Maurice Stans at Finance, and we were sort of wondering, did you go work for Stans immediately after Sloan quit or was there a time lapse?
bookkeeper		I never worked for Sloan or Stans.
bookkeeper's sister		 Would you like some coffee or anything?
bernstein		 Can I sit down for a minute?
bookkeeper		One minute but then--
bernstein		--right, right, I've got to go.  Why did you lie just then?
bernstein		I was just curious--you don't do it well, so I wondered. Have you been threatened, if you told the truth, is that it?
bookkeeper		...No... never in so many words...
bernstein		 It's obvious you want to talk to someone--well, I'm someone.
bernstein		I'm not even going to put your name down. It's just so I can keep things straight.  Start with the money, why don't you?
bookkeeper's sister		 How do you like it?
bernstein		Everything, please.
bookkeeper's sister		 I won't be a minute.
bernstein		 The General Accounting report said there was a 350 thousand cash slush fund in Stans' safe. Did you know about that from the beginning?
bookkeeper		 There are too many people watching me--they know I know a lot--
bernstein		--it was all in hundreds, wasn't it?
bookkeeper		A lot of it was. I just thought it was sort of an all-purpose political fund--you know, for taking fat cats to dinner, things like that.
bernstein		Could buy a lot of steaks, 350,000 dollars.
bookkeeper		 I can't be positive that it was used for the break-in but people sure are worried.
bernstein		Which people?
bookkeeper		The ones who could disburse the money.
bernstein		Who were they?
bookkeeper		There were a group of them--I think five, I don't know their names.
bernstein		Sloan knew which five, didn't he? 
bookkeeper's sister		 Here we are.
bookkeeper		I don't want to say anymore.
bernstein		 --and you haven't finished telling me about the money--
bookkeeper		 --omigod, there was so much of it, six million came in one two-day period-- six million cash, we couldn't find enough places to put it. I thought it was all legal, I guess I did, til after the break-in, when I remembered Gordon got so much of it.
bernstein		 Gordon Liddy, you mean?
bookkeeper		 ...It's all so rotten... and getting worse... and all I care about is Hugh Sloan. His wife was going to leave him if he didn't stand up and do what was right. And he quit. He quit because he saw it and didn't want any part of it.
bernstein		Think Sloan's being set up as a fall guy for John Mitchell? Sometimes it looks that way.
bookkeeper		If you guys... if you guys could just get John Mitchell... that would be beautiful...
bernstein		I  couldn't believe what she told me. Eight cups of coffee worth.
woodward		Go on, go on--
bernstein		--we've got to find out who the five guys are--the five with access to the slush fund--they were aware of the break-in.
woodward		Then tomorrow's grand jury indictments will just be bullshit.
bernstein		It goes very high--we've got to find out where--
woodward		--we will--
bernstein		--she was really paranoid, the bookkeeper.
woodward		That happens to people.  OK, go on.
bernstein		How do you want to handle Sloan?
woodward		You mean, who's going to play the mean M.P. and who's going to be the nice one?  Whichever.
bernstein		He's another Ivy Leaguer so he'll probably expect you to be understanding--might surprise him if you're not.
woodward		You want me to be the bastard.
bernstein		 And I'll just shitkick in my usual way.
woodward		To see Mr. Sloan.
bernstein		 This must be a difficult time for the both of you.
woodward		That's why we wanted to see your husband.
bernstein		 Maybe you could put in a good word.
woodward		We've got another appointment tonight in this area--we'll just stop back later, all right?
woodward		Think Sloan's back?  What's wrong?
bernstein		Nothing--I just found out that Jeb Magruder from CREEP is a bigger bike freak than I am.  I never like it when the other guy's human...
woodward		Mr. Sloan?
sloan		 As you know, I haven't talked to the press.
bernstein		We were hoping that maybe now you could. We know why you left the Committee. We know you're not guilty of anything. But we know you know who is--
sloan		--look, come in. We'll have to be quiet--my wife's asleep.
sloan		I'd like to talk to you, I really would, but my lawyers say I shouldn't until after the Watergate trial.
woodward		You handed out the money. Maybe there's a legitimate explanation for the way it was done--
bernstein		--then again, maybe things are even worse than we've written--
sloan		--they're worse. That's why I quit.
sloan		Try and understand this. I'm a decent Republican. I believe in Richard Nixon. I worked in the White House four years--so did my wife. What happened on June 17 I don't think the President knew anything about. Some of his men I'm not so sure of.
bernstein		Do you think the truth will come out at the trial?
sloan		That's another of the things I'm not so sure of.
bernstein		Because people at the Committee were told to lie to the prosecutors?
sloan		We were never told flat out "Don't talk." But the message was clear.
bernstein		To cover up?
sloan		Well, they sure didn't ask us to come forward and tell the truth.
woodward		Does "they" mean the White House?
sloan		As opposed to the Committee? The Committee's not an independent operation. Everything is cleared with the White House. I don't think that the FBI or the prosecutors understand that.
woodward		The report on the cash in Maurice Stans' safe, the three hundred fifty thousand, that's true?
sloan		No. It was closer to seven hundred thousand.
woodward		And as treasurer, you could release those funds?
sloan		 When so ordered.
woodward		We're not sure we've got all the guys who could order you, but we know there were five. 
bernstein		 Mitchell, Stans, Magruder, they're obvious--
woodward		--there had to be a White House overseer--
bernstein		--Colson.
sloan		Colson's too smart to get directly involved with something like that.
woodward		 Right?
sloan		I won't talk about the other two.
bernstein		But they both worked at the White House?
sloan		 I will not talk about the other two.
bernstein		 Kalmbach--Nixon's personal lawyer.
sloan		I can't say anything, I'm sorry. 
woodward		One thing I'm not completely clear on--when you gave out the money to Liddy, how did that work?
sloan		Badly.  You don't realize how close all this came to staying undiscovered--I gave Liddy the Dahlberg check and he gave it to Barker who took it to Miami and deposited it.
bernstein		Right.
sloan		Then Barker withdrew the 25 thousand in hundred dollar bills and gave it back to Liddy who gave it back to me and I put it in the office safe which was crammed.
woodward		Go on.
sloan		Well, when Liddy came and asked for money for what turned out to be the break-in funds, I went to the safe and gave him--out of this whole fortune--I happened to give him the same hundreds he gave me--banks have to keep track of hundreds. If the money had been in fifties, or if I'd grabbed a different stack, there probably wouldn't have been any Watergate story.
bernstein		Ordinarily, though, what was the procedure?
sloan		Routine--I'd just call John Mitchell over at the Justice Department and he'd say "go ahead, give out the money."
bernstein		What happens when the baby comes?
sloan		We're moving.  I've been looking for a job but it's been... hard. My name's been in the papers too much. Sometimes I wonder if reporters understand how much pain they can inflict in just one sentence. I'm not thinking of myself. But my wife, my parents, it's been very rough on them.
sloan		I wish I could put down on paper what it's like--you come to Washington because you believe in something, and then you get inside and you see how things actually work and you watch your ideals disintegrate.  The people inside, the people in the White House, they start to believe they can suspend the rules because they're fulfilling a mission. That becomes the only important thing-- the mission. It's so easy to lose perspective. We want to get out before we lose ours altogether.
bernstein		Look--five men controlled that slush fund as CREEP--three of them we've got, Mitchell, Stans, Magruder, and we're pretty sure of Kalmbach.
woodward		We'd like to wait til we have all five before we print it.
bradlee		This is a daily paper, we'll explain it tomorrow.  You're certain on Mitchell?
woodward		He approved the payments to Liddy while he was still Attorney General--
rosenfeld		--you got more than one source?--
bernstein		--yes--
simons		--has any of them got an ax?--
rosenfeld		--political, personal, sexual, anything at all against Mitchell?--
woodward		--no--
simons		--can we use their names?--
bernstein		--no--
bradlee		--goddamnit, when's somebody gonna go on the record on this story--
rosenfeld		--who you got?--
woodward		--well, Sloan--
bernstein		--and we got a guy in Justice--
bradlee		--Deep Throat?--
woodward		--I saw him. He verifies.
bradlee		OK.  Just be right, huh?
bradlee		Leave plenty of room for his denial.
bernstein		John Mitchell, please.
bernstein		Sir, this is Carl Bernstein of the Washington Post, and I'm sorry to bother you but we're running a story in tomorrow's paper that we thought you should have a chance to comment on.
bernstein		 John N. Mitchell, while serving as US Attorney General, personally controlled a secret cash fund that--
bernstein		--fund that was used to gather information against the Democrats--
bernstein		--according to sources involved in the Watergate investigation. Beginning in the spring of 1971--
bernstein		--almost a year before he left the Justice Department--
bernstein		--to become President Nixon's campaign manager on March 1, Mitchell personally approved withdrawals from the fund--
bernstein		Sir, I'd like to ask you a few--
bernstein		Night.
bradlee		He really made that remark about Mrs. Graham?  This is a family newspaper--cut the words "her tit" and run it.
bradlee		Once when I was reporting, Lyndon Johnson's top guy gave me the word they were looking for a successor to J. Edgar Hoover. I wrote it and the day it appeared Johnson called a press conference and appointed Hoover head of the FBI for life... And when he was done, he turned to his top guy and the President said, "Call Ben Bradlee and tell him fuck you."  --I screwed up but I wasn't wrong.
bradlee		You guys haven't been wrong yet, is that why you're scared shitless?  You should be...
senator		Although I am a Republican, I would like to state in a pure bipartisan spirit that I feel only sadness that a once fine journal of record like the Post would have become merely the hysterical spokesman for the equally hysterical left wing of the Democratic Party--
simons		 Same kind of crap--
bradlee		 --all non-denial denials--we're dirty guys and they doubt we were ever virgins but they don't say the story is inaccurate.
bernstein		What's a real denial?
bradlee		If they ever start calling us goddamn liars--  --it's time to start circling the wagons.
woodward		What do you think Mrs. Graham wants to see me for?
simons		Maybe to fire you--since you two started on this story, the Post stock has dropped, what, 50 percent?  And the word is some Nixon people are challenging her TV licenses. I'm not saying she's going on relief, but I don't think it's unreasonable for her to want to meet you.
woodward		You think she wants us to ease up on the story?
simons		 I don't know, but I don't think that's unreasonable either, do you?
woodward		--I'm Woodward.
woodward		I think so.
woodward		No.
woodward		It may never come out.
woodward		Some Justice Department lawyers and an FBI man, and some people from the Committee to Re-Elect, yes ma'am.
woodward		I couldn't say.
woodward		 It is.
woodward		 I would, if you really ever wanted to know.
woodward		Nobody ever had too much.
woodward		What?
bradlee		I thought you guys were supposed to be working on this story--  --you think I like being aced out?
bernstein		--what?--
woodward		--The L.A. Times has a huge interview with Baldwin--
bernstein		--the lookout in the Motor Inn?--  --he say anything we don't know?--
woodward		 --just that a lot of reports were sent to CREEP, but he doesn't name who, not here anyway--
bradlee		--it would have been nice to have had this, I sure would have liked to have had this--
bernstein		--there's nothing new in it--
bradlee		--it makes the break-in real--it's a major goddamn story--  --I'm not going to kick ass over this, but I'd like you to know I hate getting beat, I just hate it-- don't forget that I hate it--
bernstein		Goddamnit--
woodward		--shit--
bernstein		--we gotta top the Times--
woodward		--I know, I know--
bernstein		--if we could name the guys got the reports, we'd be ahead again--
woodward		--shit, who do we know?--
bernstein		--I know a lawyer at Justice--
woodward		--has he got an ax?--
bernstein		--almost every source we've used has been Republican, this guy's a card- carrying Democrat.
woodward		Then he's got an ax.  Call him anyway.
bernstein		--I want you to shut up and listen to me--
woodward		--I haven't said anything--
bernstein		--for the first time I'm beginning to feel like a fucking reporter-- Woodward, I got a tip. A guy called me up with a tip--  --someone named Donald Segretti contacted a bunch of lawyers and asked them if they'd like to go to work with him screwing up the Democrats, dirty tricks, shit like that. The FBI knows about Segretti-- Howard Hunt made a bunch of phone calls to him--they interrogated him, but on account of Segretti wasn't involved with the break-in, they didn't follow through. But Segretti did a lot of traveling--he called these lawyers from different places, and he told them the Republicans knew what he was doing.
woodward		How high up, which Republicans?
bernstein		That's what we've got to find out, but Segretti went to Southern Cal. and so did a bunch of Nixon men--
woodward		--Haldeman I know, who else?
bernstein		Dwight Chapin, Nixon's appointments chief--he knew Segretti in school. Maybe I'm crazy, but this is the first time any of this starts to make sense. What were the three theories?
woodward		The burglary was done by Cubans or Democrats or Republicans.
bernstein		Now the reason no one believed the Republicans is because there wasn't any reason, they were so far ahead. But Segretti was talking to these other lawyers a year before the break- in.
woodward		So maybe Watergate wasn't really about Watergate--maybe that was just a piece--
bernstein		--because a year before, the Republicans weren't ahead, not in the polls, Muskie was running ahead of Nixon then. Before he self- destructed.
woodward		If he self-destructed.
woodward		Segretti criss-crossed the country over ten times in six months--and never stayed anyplace over a night or two.  Switch to another station, huh? You're driving me crazy with that.
bernstein		Segovia begged me for me secret but I said, "No, Andres, you'll have to try and make it without me."
woodward		 Why does everything you play sound the same?
bernstein		--'cause I only know four chords--
segretti		That's right.
bernstein		I'm Carl Bernstein.  My paper sent me out to see if I couldn't persuade you to go on the record.
segretti		You can't.
bernstein		Mind if I try?
bernstein		According to what we've been able to verify, you've been busy.
segretti		I've got a lot of energy.
bernstein		Listen--we know you're involved in this--we're going to get the story, why not help?
segretti		They never told me anything except my own role--I had to find out the rest in the papers.
bernstein		By "they" you mean...?
bernstein		By "they" you mean the White House, don't you?  Your buddy from USC, Dwight Chapin-- he works for the White House.
segretti		I know where Dwight works.
bernstein		When did he hire you?
bernstein		Do you feel much about the things you did?
segretti		I didn't do anything wrong.
bernstein		Tell that to Muskie.
segretti		Oh, maybe nickel and dime stuff.
bernstein		During the Florida primary, you wrote a letter on Muskie stationery saying Scoop Jackson had a bastard child. You wrote another that said Hubert Humphrey was out with call girls.
segretti		Sometimes it got up to a quarter maybe--  --off the record.
bernstein		You wrote the Canuck letter--the one where you claimed Muskie slurred the Canadians.
segretti		I didn't.
bernstein		But you know who did.
segretti		When you guys print it in the paper, then I'll know.  I'm a lawyer, and I'll probably go to jail, and be disbarred, and what did I do that was so awful?
segretti		None of it was my idea, Carl--I didn't go looking for the job.
bernstein		Chapin did contact you then?
segretti		Sure--off the record.
bernstein		On the orders of Haldeman?
segretti		I don't know anything about Haldeman, except, Dwight's frightened of him-- everybody's frightened of him--Christ, I wish I'd never gotten messed around with this--all I wanna do is sit in the sun; sit, swim, see some girls.
bernstein		It gets interesting if it was Haldeman, because our word is that when Chapin says something, he's gotten the OK from Haldeman, and when Haldeman says something, he's gotten the OK from the President.
segretti		Can't help you.
bernstein		At USC, you had a word the this-- screwing up the opposition you all did it at college and called it ratfucking.  Ever wonder if Nixon might turn out to be the biggest ratfucker of them all?
segretti		What would you have done if you were just getting out of the Army, if you'd been away from the real world for four years, if you weren't sure what kind of law you wanted to practice, and then one day you got a call from an old friend asking you to go to work for the President of the United States...?
bernstein		What would you have done?
