****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
stanley		 She lived alone.
desmond		She must have known someone.
stanley		I'll get my kit.
stanley		 5,600 dollars.
desmond		Take a look at this.
stanley		She's wearing a ring.
desmond		My guess is there isn't enough detail in the photo to get an idea of the design on the ring, but we should do a blowup of this anyway.
stanley		 There doesn't seem to be enough detail in the photo to ascertain the design on the ring.
carl		I'm gonna make myself some Good Morning America.  You want some?
desmond		You weren't kiddin'.  This stuff's got the sting of the forty-eight hour blend.
carl		That's right.  That's the best coffee you're gonna get around here.
stanley		 We really do need a good "wake me up", don't we, Agent Desmond?
desmond		Did you know Teresa Banks?
cliff		Hey, how's J. Edgar doin'?  Bet you appreciate them bustin' your mornin' in half, eh, Carl?  Bet they woke you up.
carl		They're only doing their job.
desmond		What are you doing here in the trailer court, Deputy?
cliff		Maybe I just live here, what do you think about that?
desmond		Can I ask you where you were the night Teresa Banks was murdered?
cliff		You can tell J. Edgar that I was at a party and I got fifteen fuckin' witnesses.
carl		Maybe if you did a little less partyin' that little girl would still be alive.
cliff		Is that right, Mr. Jack Daniels?
desmond		Did you know Teresa Banks?
cliff		Got a couple of cups of coffee at Hap's from her.  That's it.  By the way where do you get off questioning a lawman?  I could ask you the same question.
desmond		No you couldn't.
desmond		Is there a golf course around here?
carl		Not a lot around here, no.  Got some clubs, but not very many fellas with balls.
desmond		Thanks for your help, Carl.  Sorry we woke you up.
carl		That's alright.  I was having a bad dream.  I was dreamin' about a joke with no punchline.
stanley		I couldn't help but notice that you had a suspicion that Deputy Cliff was the murderer.  You did think that, didn't you, Agent Desmond?
desmond		He's not the murderer.  But he's a bozo.
stanley		Yes, he is like a clown.
cable		What the hell is that thing doing out there?  You're not taking that body anywhere.
desmond		We're taking the body back to Portland and there's not a thing you can do about it.
cable		Maybe not _a_ thing, but maybe _two_ things.
desmond		Teresa Banks had a ring.  Any idea what happened to it?
cable		We got a phone, here, that's got a little ring.
desmond		 Sheriff Cable, where were you the night Teresa Banks was murdered?
cable		 My alibi is as strong as these bands of steel.
stanley		 When he says, "Discussion", how do you take that, Agent Desmond?
desmond		I don't take it, Sam.  I give it.
cable		Now, J. Edgar, I'm going to take off my badge, here.  Do you mind?  The only way you're going to get that body is over mine.
cliff		 You try that you little monkey.
desmond		I think I'll take off my badge as well.
desmond		 This one's comin' from J. Edgar.
desmond		Who's next?
desmond		Take the van back to Portland, Stanley. I'm going to take one more look at the trailer park.
stanley		 One thing that has been troubling me. That lamp at the diner.  Do you think they were working on it for esthetic reasons or was their work due to faulty wiring?
desmond		Faulty wiring.
stanley		Esthetics are subjective, aren't they, Agent Desmond?  I'm Sam Stanley.  If you ever need me.
desmond		Thanks, Sam, for the good work.  You have a good eye for detail.
stanley		We do notice things, don't we, Agent Desmond?  Are you going back to the trailer park for the Blue rose?
stanley		 83,000 dollars.
carl		 And that's Deputy Cliff's trailer over there.  The red one.
chet		Right.
carl		I'll be in my trailer if you need me.
cole		EVERY SYLLABLE OF EVERY WORD IS THE SOUND OF TWO HANDS CLAPPING.  IS THAT WHAT YOU SAID, ALBERT?
albert		Six to eight hands clapping.  I was referring to the possibility of a little silence.
cooper		I know you haven't changed your hair and I've seen that beautiful dress before, but I must say, Diane, you look sensational today.
cooper		 Another triumph for the dashing Agent Cooper.  And you, Diane, now have to clean the coffee cup, get fresh ground coffee from Sally and make a damn great pot of coffee.
cooper		What is it, Gordon?
cole		COOP, AGENT CHET DESMOND HAS DISAPPEARED.  GONE LIKE THE WIND IN DEER MEADOW.
stanley		Agent Chet said he wanted to check the trailer court one more time.  He had me drive the van with the body back here. Which we did.  It was 105 miles.
cooper		Anything else?
stanley		Did Gordon show you a woman named Lil?
cooper		I'm up to speed, Stanley.
stanley		Agent Chet wouldn't tell me what the Blue Rose meant.
cooper		And neither will I.
stanley		 You know, I liked Agent Desmond.  He had his own M.O.
stanley		I cracked the Whiteman case with this.
cooper		 Stanley, I heard all about it.
stanley		No one could've found those splinters without a machine like this and no one has a machine like this.
cooper		Tell me about the letter.
stanley		Take a look at this.  Chet and I found it under Teresa Banks' ring fingernail.
cooper		And no one found the ring?
stanley		No, sir, we did not.
stanley		I'm Sam Stanley, if you ever need me.
carl		GOD.  I'm beginning to lose faith in the United States Government and that includes the telephone system.  Don't you folks talk to one another.  That's her trailer there and I haven't touched a god damn thing.  Agent Chet Desmond come by a second time and asked too see Deputy Cliff Howard's trailer  After that I never saw him again.
cooper		Thank you, Carl.
carl		 That's not the way to Cliff's trailer.  I told you.
cooper		I am not going to Cliff's trailer.
carl		Well, where are you going?
cooper		I am going over here.
carl		 God damn, you people are confusing.
cooper		What was here, Mr. Rodd?
carl		A trailer was here.  What the hell do you think?
cooper		Can you tell me who's trailer it was... and who stayed in the trailer?
carl		An old woman and her grandson.
cooper		Can you tell me what their names were?
carl		Chalfont.  Weird.  Chalfont was the name of the folks that rented the space before they did.  Two Chalfonts.
cooper		Is that Agent Desmond's vehicle?
carl		Yep, it sure is.
cooper		 Diane, it's 4:20 in the afternoon.  I am standing here at Wind River where they found the body of Teresa Banks.  Diane, this case has got a strange feeling for me.  Not only has Agent Chester Desmond disappeared but this is one of Cole's Blue Rose cases.  The clues that were found by Agent Desmond and Agent Stanley have lead to dead ends.  The letter below the fingernail gives me the feeling that the killer will strike again. But like the song says, "...who knows where or when".
cooper		Gordon, it is 10:10, on February 15th.
gordon		SO?
cooper		I was worried about today from the dream I told you about.
cole		RIGHT.  GOOD WORK.
head clerk		Here's your key, Mr. Jeffries.  I hope you enjoy your stay here at The Palm Deluxe.  This is for you.  The joven...  ah...  young lady...  she left it.
bellhop		612 --- very nice.
cooper		 Gordon.
cole		PHILLIP!
albert		Phillip?
cooper		Phillip?
cole		COOPER, MEET THE LONG LOST PHILLIP JEFFRIES.  YOU MAY HAVE HEARD OF HIM AT THE ACADEMY.
jeffries		I'm not going to talk about Judy.  Keep Judy out of this.
cooper		But...
cole		STAND FAST, COOP.
jeffries		 Who do you think that is there?
albert		 Suffered some bumps on the old noggin', eh, Phil?
cole		WHAT THE HELL DID HE SAY?  ARE YOU OKAY, JEFFRIES?  WHERE THE HELL HAVE YOU BEEN?
jeffries		I want to tell you everything, but I don't have a lot to go on.  But I'll tell you one thing:  Judy is positive about this.
albert		How interesting.  I thought we were going to keep Judy out of this.
jeffries		Listen to me carefully.  I saw one of their meetings.  It was above a convenience store.
albert		Who's meeting?  Where have you been?
cole		FOR GOD SAKES, JEFFRIES, YOU'VE BEEN GONE FOR DAMN NEAR TWO YEARS.
jeffries		It was a dream.  We live inside a dream.
albert		And it's raining Post Toasties.
jeffries		 NO, NO.  I found something...  in Seattle at Judy's...  And then, there they were...
jeffries		They sat quietly for hours.
first woodsman		 We have descended from pure air.
bob		 Light of new discoveries.
first woodsman		 Our world.
second woodsman		 Boneless.
mike		 Yes, find the middle place.
bob		 I HAVE THE FURY OF MY OWN MOMENTUM.
tremond's grandson		 Fell a victim.
bob		 Fire Walk With Me.
jeffries		I followed.
jeffries		 The ring...  ring...
cole		 ALBERT, I'LL TAKE THAT SECOND MINERAL WATER.
jeffries		May?  1989?
cole		WHAT...  AM I ALONE?
cole		HE'S GONE.
cooper		 What?
cole		ALBERT, COME BACK HERE.  HE'S GONE CALL THE FRONT DESK.
albert		 I've got the front desk right now.  He never was here.  No record of him entering the building...  and the doctors should be here any minute.
cole		 GREAT.  I, MYSELF, AM GOING TO BE READY FOR THEM.
cooper		What's going on?
cole		QUICKLY MEN...  WORD ASSOCIATION, COOP.  WHAT ARE YOU THINKING ABOUT RIGHT NOW?
cooper		Teresa Banks.
cole		ALBERT?
albert		Tylenol.
cole		 WHY ARE YOU THINKING ABOUT TERESA BANKS, COOP?
cooper		It was a year ago today that Teresa Banks was killed.  I'm wondering if the murderer will ever kill again.
cole		ALBERT, WHY TYLENOL?
albert		No offense, sir, but after a day with you it is mandatory.
jeffries		 Hey...  hey...
bellhop		 Oh, Mr. Jeffries.  De shit it come out of my ass!  Santa Maria, where did you go?
cooper		He was here.
laura		Donna?...  Donna?...
donna		Just a minute, Laura.
laura		If I am going to get through math today, you're going to have to bring me up to speed quick.
donna		You didn't do your homework?
laura		Noooo...
donna		 Okay, this test is going to be about the theorems I told you about last week.  You remember the...
laura		Don't tell me now.  Tell me right before the test.  I won't be able to remember long enough.
donna		You graduating this year will be proof that miracles happen.
laura		Thanks.
donna		James called me last night looking for you.
laura		When?
laura		He probably wanted to drive over.
donna		Were you with Bobby?  Or are you two still fighting?
laura		No, and yes.  I don't know what I'm going to do about Bobby.  I know he is seeing someone else and that's okay with me, and he thinks I'm seeing someone else and that's not okay with him.
donna		Are you going to tell him about that "someone else"?
laura		I don't know what to do.
donna		You know what your problem is?  You're just too adorable...
laura		 You know, I think you're right.  I'm just too adorable.
donna		 Laura Palmer, you're just too adorable.
laura		 I'm just too adorable.  I'm just too adorable.
admirers		"Laura...  Donna...  Laura...  Donna..."
mike		 That's why you need a real man, Babe, you're tough to handle.
donna		And you're the real man?
laura		James...
james		Laura, I'll meet you at 2:30 after phys. ed.
laura		Okay.
bobby		Hey, Baby.
james		Laura, do you love me?
laura		Yes, I love you.  I've told you, but it doesn't really matter.
james		Why?  It does.
laura		No, it doesn't...  just kiss me.
james		It does matter.  We're in love.
laura		James, you don't know what you are talking about.  Quit trying to hold on so tight.  I'm gone...  long gone like a turkey through the corn.
james		You're not a turkey.  A turkey is one of the dumbest birds on earth.
laura		 Gobble, gobble, gobble.
james		Don't ever leave, Laura, ever.  I'll never leave you.
bobby		Where were you for the last hour?  I've been lookin' for you?
laura		I was right behind you, but you're too dumb to turn around.  If he turned around he might get dizzy and fall down.
bobby		 I'M NOT KIDDIN'.  WHERE WERE YOU? WHO WERE YOU WITH?
laura		Get lost Bobby.
bobby		Oh, yeah?  You'll be callin' soon and maybe I'm not gonna be there.
laura		 Oh, come on, sweetie, give me one of your smiles.
bobby		 Love ya, Babe.
laura		Hi, E.H. EILEEN  D.H.
donna		Mom H.
laura		Why are you suddenly so interested in who I am going to see at night? Nighttime is my time.
donna		You're telling me, but only because you never let me in on any of it...  you're not going to see Bobby, are you?
laura		Maybe.
donna		Oh god, Laura.
laura		Well, why not?
donna		Because Bobby is a loser, you said so yourself.  He's a goon.  He loves you with that "lasting love"... "true love".
laura		Yes, James is very sweet.  Why don't you get out your violin, Donna?
donna		Sweet?  God, he's gorgeous.
laura		James is very sweet and very gorgeous.
donna		I wonder if Mike could ever write a poem?
laura		Faster and faster.  For a long time you wouldn't feel anything.  Then you would burst into fire...  forever.
donna		Maybe I better start our homework.
laura		Okay, I suppose I should go home.
donna		Call me.
laura		Sure.  What do you want me to call you?
donna		Call me anything just don't call me late for dinner.
laura		Mom...  Mom?
sarah		Laura, honey...  Cigarette...  Cigarette...
laura		Can I take the car?
sarah		Sure honey, what's the hurry?
laura		I forgot my books at school.
sarah		Laura.
laura		What?
sarah		You'll never be a smoker if you don't
harold		Laura?
laura		My secret diary.  There are pages missing.
harold		Who would do that?
laura		Bob.
harold		But Bob isn't real.
laura		The pages are gone.  That's real.
harold		Maybe.
laura		Bob is real.  He's been "having" me since
harold		What does Bob say?
laura		 He wants to be me...  or he will kill me.
harold		No...  No...
laura		 Oh, yes...  yes...
harold		What?  Please.
laura		FIRE WALK WITH ME.
laura		 The trees...  the trees...
laura		You're not Bob are you, Harold?  If you are, you can kill me right now.  Kill me right now, if you are.
harold		Laura, no, I'm not.  I'm not Bob.  Poor Laura.  I wish I could help you.
laura		I hate him, I hate it.  Sometimes I love it.  But now I'm afraid.  I am so afraid.
harold		But you're strong Laura...  so much stronger than I...  How can I help you?  I can't.  I can't even go outside.
laura		 It _is_ dangerous for you to have it.  I'm sorry.
harold		 I'm so sorry, Laura.
laura		I don't know when I can come back. Maybe never.
sarah		You lied to me about those school books. I found them upstairs on your bed.
laura		 What were you doing in my room?
sarah		I was looking for that blue sweater that you borrowed which I found balled up in the bottom of your closet.  Now why did you lie to me?  Where did you go?
laura		I had to see Bobby.  I know you really don't like Bobby, but there was a problem and I didn't think you would understand.
sarah		Oh, honey, you don't have to lie to me. Ever.  You can tell me anything.  I'll understand.
laura		I'm sorry, Mom.
sarah		Now hurry, dinner's almost ready.  Your father says he's starving.
leland		 "I'm hungry".
sarah		Oh, Leland.
laura		 Dad.
leland		 Hyggelig a mote dem.  Jeg Heter Leland Palmer.
leland		The Norwegians are coming next week and I want you to learn to say what I just learned in Norwegian.  So you can talk to them.  I want you to learn to say, "Hello, my name is Leland Palmer".
laura		But my name isn't Leland Palmer.
sarah		Neither is mine.  And can't we talk about something serious for a change.
leland		This is serious.  Mr. Benjamin Horne's got a delegation of Norwegians coming in next week and I want both of you to learn to introduce yourself.  Sarah, you first.
leland		Hyggelig a mote dem.  Jeg Heter Leland Palmer.
sarah		Hyggelig a mote dem.  Jeg Heter Sarah Palmer.
leland		Good.  We'll practice some more.  Laura, now you try it.
laura		Hyggelig a mote dem.  Jeg Heter Laura Palmer.
leland		All together now...
trucker		Friend of Leo's, right?  Partyland?
laura		If you can fuck and drive the party starts right now.
albert		Cooper, the ooze of mumbo jumbo is rising up above our heads.  Do you honestly think Cole's practice of word association works?
cooper		The very fact that we are talking about word association means we are in a space that was opened up by our practice of word association.  The world is a hologram, Albert.
albert		Yes, it's a great big psychedelic circus ride, isn't it, Cooper?
cooper		Albert.
albert		You said, "Teresa Banks", so you think something is going on somewhere in the world right now that is connected with her murder?
cooper		Yes.  Either right now or right when I thought of it.  The name and memory of Teresa Banks is haunting me.  Lately I have been filled with a knowingness that the murderer will strike again. Because it is only a feeling, I am powerless to stop it.  And another thing, Albert, when the next murder happens you will help me solve it.
albert		Let's test it for the record.  Will the next victim be a man or a woman?
cooper		A woman.
albert		What color hair will she have?
cooper		Blonde.
albert		Tell me some other things about her.
cooper		She's in high school.  She's sexually active.  She's on drugs.  She's crying out for some help.
albert		You're describing half the high school girls in America.  What is she doing right now?
cooper		 She is preparing a great abundance of food.
norma		Shelly, would you give Laura a quick hand with the "Meals on Wheels"?
shelly		I'm kind of busy, Norma.
norma		You're not busy, sweetheart, now go.
nadine		I changed my mind, I don't want any coffee, Eddie.
ed		Sorry, Norma.
shelly		Can I give you a hand getting the dinners together?
laura		That's alright, Shelly.  I know you have better things to do.
shelly		 Norma asked me to give you a hand.
laura		Okay.  You can help me carry them to the car.
tremond		This would look nice on your wall.
grandson		He's looking for a book with pages torn out.  He's walking towards the hiding place.  He's moving under the fan now.
laura		Shelly, you really can help me.  I can't do the "Meals on Wheels" today.  I just can't.
shelly		Okay.
shelly		Laura just took off.  She asked me to do the run today.  Should I do it?
norma		What's with that Laura?  Yeah, sure, take a look around.  There's no one here anyway.
shelly		You're right.  There's no one here.
norma		There's no one here.
shelly		Norma, are you alright?
norma		Come back as soon as you can.
shelly		If Leo comes here, he won't believe that I am out doing the "Meals on Wheels".
norma		Don't worry, Shelly, I'll handle Leo.
toad		Kind of quiet.
laura		 He's looking for the book, he's going to the hiding place!
laura		 What?  It can't be...  It can't be him...  no... no...
woman		Laura...
woman		What...  Laura are you all right?
laura		 I...  lost my necklace...  it must have fallen.
laura		 Oh, here it is.
woman		Well, I'm glad you found it, darling.
donna		Laura?
laura		Donna, are you my best friend?
donna		Of course...
donna		What is it Laura?  What's wrong?
laura		I just want a friend.  Just one friend for just one minute...
donna		Laura, how about one friend for the rest of your whole life?
laura		Yes, that's what I want.  Thanks D.
donna		Okay, L.  No, I am uptight.  I hate it...  I don't want to be this way, but Laura I don't...  I mean...  I'm your friend no matter what way you are.
laura		You know, even when I think about your face I get happier.
donna		Do you want to talk?
laura		No, I want to smoke.
donna		I'm in a mess today, too.  I'm thinking about doing it with Mike. What do you think?
laura		 Donna, you are such a crack up.  You don't even like Mike.  Is this what you are going to do to show me you are not uptight.
donna		This is about sex, not like.  You want a muffin?
laura		If I can smoke it.
donna		You want a muffin?
laura		Donna, you are a muffin.
doc		The red rose.  Where is the red rose?  You know the light at Sparkwood and 21?  It worked right there.  I just did it right there.
doc		 Why is it that you can't smoke at your home and I'm a doctor and I don't allow smoking in my home and I let you smoke in my home?
laura		 Because you love me so much.
doc		I do love you, you little smoking whipper snapper.
eileen		These muffins each have at least seven full huckleberries in them.
donna		Dad, what in the world are you doing?
doc		What the hell is this?
donna		It's a prescription.
doc		Is it?
donna		Dad.
doc		My handwriting is so bad that now I can't even read it.  You girls better hurry up and graduate from high school so you can take care of me.
doc		 It's for you.  It's your father.
laura		Hello...
leland's voice		Time to come home for dinner, honey.
laura		I gotta go.
donna		Goodbye, Muffin.
laura		No, you're the muffin.
laura		No, you're right.  I am the muffin.
leland		Hi, honey, how's Donna?
laura		Fine.
leland		School?
laura		...school's fine...
leland		Sit down...  sit down...  Are you hungry?
laura		Not really.
leland		You didn't wash your hands before you sat down for dinner did you?
leland		Let me see.
laura		Dad...
leland		Your hands are filthy...  look, there is dirt way under this fingernail.
sarah		Leland, what are you doing?
leland		Look at this finger here.
sarah		Leland...
leland		Laura didn't wash her hands before dinner.  And look at this.
leland		Oh, is this from a lover?
sarah		They don't call them lovers in high school, Leland.
leland		Bobby didn't give you this?
sarah		How would you know if Bobby didn't give her that?
leland		 Did Bobby give you that or is there someone new?
sarah		Leland leave her alone...  She doesn't like that.  Stop it.
leland		How do you know what she doesn't like?
sarah		Oh, Leland, sit down and eat you dinner.
leland		Oh, I'll sit down, but none of us are going to start eating till Laura goes and washes her hands.
sarah		What is it, Leland?
leland		I can't remember the last time I told Laura that I loved her.
sarah		Well, honey, go in and tell her now.
leland		Laura, honey...
leland		Goodnight, Princess.
cooper		 Don't take the ring...  Laura, don't take the ring.
annie		My name is Annie.  I've been with Laura and Dale.  The good Dale is in the lodge and he can't leave.  Write it in your diary.
james		Where were you last night?  We were supposed to get together.  You didn't show up.
laura		You were supposed to show up.  Maybe I wasn't.
james		We were supposed to be together.
laura		How can I be together if I'm not together?
james		You're on somethin' again, aren't you?
laura		James...
james		When am I going to see you?
laura		I gotta go.
leland		Who was that?
laura		A friend from school.
leland		A special friend?
bob's voice		Laura.
laura		No...  No, go away.
bob's voice		I'm glad you let me talk to you.  You used to not let me talk to you.
laura		Go away.  I am not talking to you.
bob's voice		I want you.
sarah		Laura?
sarah		Laura, now I can't find that blue sweater.  Did you take it again?
laura		Mom...  what are you wearing?
sarah		My god, I am going to have another breakdown.  God, god.
laura		Mom, take it easy.
sarah		No, no... this can't be happening.
laura		Mom, you're not having a nervous breakdown.
leo		Someone who knows how to clean knows where the object was before she started cleaning and then that object goes back to its exact same spot. Shelly, I know where everything in this house is.  Sometimes on the road I mentally go through this whole house and picture where every item is.
shelly		Lay off the bennies, Leo.
leo		 WHERE THE DIRT IS, SHELLY.
shelly		As if I didn't know.
leo		I'm going to show you how to wash this tile and then you're going to do it.
shelly		Come off it, Leo.  I'm late for work...
leo		What did you say?
leo		Shelly, I am not fooling around anymore. The first thing you've got to WORK on is a good attitude.  That's the key. Anybody will tell you that.
leo		Don't even _think_ about going anywhere, Shelly.  I'm not finished with you.
leo		What are you doing calling me here?... No way, you already owe me money... Five thousand, to be exact.
shelly		 Five Thousand???
jacques		How come you only call me when you are desperate?  Are you desperate, baby?
bobby		You interested or not?
jacques		Maybe, Bobby, baby.  Maybe.  I have friend who has what you want. His stuff is the best.
bobby		 Jacques...  you crazy Canadian.  This sounds BIG...
donna		Where are you going?
laura		No place, fast.  And you're not coming.
donna		Come on, Laura.  I'm your best friend.
laura		 Isn't tonight the night you are going to do it with Mike?
donna		Laura, aren't you going to fix me a drink?
donna		Where are the Cookies?
laura		You mean Fred and Ginger?
donna		Dancing.
donna		 If I had a nickel for every cigarette your mom smoked, I'd be dead.
laura		Gotta go, Donna.  I'll call you tomorrow.
log lady		When this kind of fire starts.  it is very hard to put out.
laura		 Margaret?
log lady		The tender bows of innocence burn first and the wind rises - then all goodness is in jeopardy.
trucker		Let's go around the world, babe.
laura		This isn't going to get you to Walla- Walla.
trucker		You do go all the way, don't you, little girl?
laura		Sooner or later.
laura		You willing to go all the way?  Huh?  You wanna do it for me.  All the way for me means all the way - DEAD.
donna		Let's boogie.
trucker		 You part of the deal?
laura		 No, she isn't.
laura		 What was your name again?
trucker		Buck.
laura		Buck, that was really nice.
donna		 What are you doing?
laura		Nothing.
donna		 I'm goin' for it.
donna		No.  I don't need to take this to be you friend.
laura		YES YOU DO, DONNA.  What a downer you are!!!
buck		 Hey, Tommy, Jacques beat us here.
tommy		Hold on, I'm chokin' the farm fed.
laura		Don't expect a turkey dog in here.
jacques		Hey, slow pokes, guess what?  There's no tomorrow.
jacques		Baby, you know why?  Cause it'll never get here.
laura		Hey, Jacques...
jacques		 No "Jacques".  I am the Great Went.
laura		 I am The Muffin.
jacques		And what a muffin you have.
jacques		 I am as blank as a fart.
laura		Hey, Donna, chug-a-lug.
jacques		Oh, Laura's friend.  I am "The Great Went".
ronette		You smell nice.
laura		Haven't seen you since I was thrown out of One Eyed Jacks.
ronette		 Hey, you know what?  It's been a year. She's been dead a year...  she's been dead a year.
jacques		The party twins.  My high school sandwich.  Let's put some meat inside...
ronette		She's been dead a year.
jacques		Who?
ronette		Teresa...
laura		Teresa Banks?  Yeah, a whole year.
ronette		Yeah, she was going to get rich...  she was blackmailing somebody...
jacques		That's right.  She called me.  She even asked me what your fathers looked like...
laura		 What?  She asked about my father?
jacques		But it wasn't him...  she was after a huge guy, six foot four with a broken nose. She said he looked just like a boxer. Speaking of sandwiches...  I think Bobby was arranging something for you...  SPEAKING OF ARRANGEMENTS...  Why don't you two come up to the cabin this week?  Leo and I know that Santy Claus is coming to town...  Thursday.
laura		 "The Great Went".
ronette		Here we go again.  Like we're back at One Eyed Jacks.
laura		 Oh, god.  It sure is.
ronette		Shit, is that Donna Hayward?
bob's voice		SEE WHAT WE CAN DO TO DONNA?
laura		 NO!  GOD, NO...
donna		 Okay, I won't wear your stuff...  Why can't I wear your stuff?
laura		Jacques, help me get her home.  NOW!
donna		I won't wear your stuff.  I promise.
laura		 Not you, Donna, not you.
nadine		ED...  ED.  I'll take over here.
nadine		You were cutting this deer like a sissy...  Sit down and watch while I do it.  AGAIN.  THIS YEAR.
ed		 Works every year...
sparky		Sure wouldn't work at my house.  My wife couldn't take the wrapper of a twinkie.
truman		Josie, I think we should go public.
josie		That would be wonderful, but it's only been a year since Andrew died.
truman		What are you afraid of?  What people think?
josie		I don't want to offend the customs of your country.
truman		Believe me, Josie, you would not offend the customs of this country.  For instance, I don't eat fish eyes.
josie		Fish eyes?
truman		Even if it offended someone, I wouldn't eat a fish eye.
josie		Why wouldn't you eat a fish eye, Harry?
truman		I saw a guy eat a fish eye once in Seattle.  He was digging through his food with his chopsticks for about five minutes till he found the fish eye and he dropped it into his throat.  I guess it must have gotten stuck in his uvula because right away he started to have trouble.  His throat began to flutter there like there was a wind blowing. And he couldn't swallow and they rushed to him and loosened his collar and they were asking him if he was alright and he started to turn blue and his eyes started to roll back into his head and he still couldn't get the fish eye out and they tried to do a Heimlich maneuver.  I went over to him as they were preparing to do an emergency tracheotomy.  They were over him with a knife when he suddenly shot the fish eye out of his throat and right onto the ceiling.  Splat!  It just stuck up there and spread out.  It was about the size of a half dollar.  And that's why I don't ever eat fish eyes.
josie		I understand.
truman		We throw away the _whole_ head.
donna		I can't remember anything about last night.  Is there something I should remember?
laura		No, you should forget about last night.
donna		Laura, I am your friend.
laura		I know you are and you don't have to do anything crazy to prove it.
donna		You're not mad at me?
laura		No.
donna		I feel so bad.  I had nightmares all night long.  They all knew you at that place.
laura		What can I tell you?
donna		How did the car get back here?
laura		WE got it back, that's all.
donna		How did I get in the house?  How did I get into my bed?
laura		I can't help you there.
donna		Was I wearing something of yours and you got mad at me?
laura		All my things have me in them.  I don't want you to be like me.
donna		But I love you, Laura.
laura		And I love you, too.  But don't wear my stuff.
donna		Why do you do it, Laura?
laura		Cause I like it.
leland		Excuse me, honey...
donna		 Catch you later.
laura		Dad, is the engine on fire?  Something is burning.
leland		It's the engine.
gerard		You stole the corn.  I had it canned above the store.
gerard		 Miss, the look on her face when it was opened.  There was a closeness.  Like the formica table top.
gerard		The thread will be torn, Mr. Palmer, the thread will be torn.
gerard		 It's him.  It's your father.
laura		DAD!...  What was that all about?  Who was that?
mechanic		Mr., Mr., you shouldn't do that to your engine.  You ought to take it easy, Mr., you're going to burn your engine out.
leland		What the hell was all that?  Why doesn't someone do something about all of this. My god, that guy came out of nowhere. He was harassing my daughter.
laura		Dad, are you all right?
leland		Teresa Banks.  You look so much like my Laura.
teresa		That sounds like fun...  Where did you see my picture?...  Okay, come to the Blue Diamond City Motel...  Yes, that's just your side of Blue Diamond City...  I'll be there.  Room one two three...  Right, as in "Get Ready".
teresa		 When's the next business trip, big fella?
leland		Soon.  How about next time we party with the girlfriends you told me about?
teresa		I can arrange that.  I like that.
teresa		What are you doing?
leland		Who am I?
teresa		I don't know.
leland		That's right.
laura		 Dad...  Dad...  Who was that?  How do you know him?  He looked familiar.  Have I met him?
leland		No, you haven't met him.  Have you met him?
laura		No.
leland		We're late to get to your mother.
laura		Just sit here for a moment.  You seem very upset.
leland		 Guy just pulls up out of the blue...  I mean...  what is this world coming to?
teresa		What's wrong?
leland		 Nothing, I chickened out.
laura		Are you sure you're okay?
leland		Yes.
laura		Dad?
leland		Yes.
laura		Did you come home during the day last week?
leland		No.
laura		Oh, I thought I saw you.
leland		You know, I did come home, come to think of it, on Thursday.  I had a severe headache and I was driving in the neighborhood so I just darted in and out of the house.  Where were you, Laura?  I didn't see you?
laura		I was down the street.
jacques		Hey, Teresa...  what?
teresa's voice		What does Ronette's father look like?
jacques		A short guy...  heavy set...  balding...
teresa's voice		What does Laura Palmer's father look like?
jacques		Very handsome...  wavy black hair.  He looks like a movie star.
teresa		 No, this was a big huge guy.  Six four... Nose broken...  like he was a boxer.
leland		Hello?
teresa's voice		Hey Handsome, this is your little party girl.
sarah		 Where were you two?
teresa		The guy split.
laura		 The same ring...
bob's voice		That's not important.  I will tell you what is important.  The fan will soon be starting.
laura		Who are you?  Who are you REALLY?
leland		 Don't forget:  It's Johnny Horne's birthday today.
laura		I'm nearly out.
bobby		It's taken care of, babe.  You and I are going to make a big score tonight.  This will tide you over.
laura		Thank you, Bobby.  A big score?
bobby		Maybe our biggest.  I'll see you two
laura		Don't be late.
james		I've got to see you.
laura		Not now.
james		This afternoon?
laura		Okay.  Oh god, it's Johnny Horne's birthday today.
james		What about tonight?
laura		I can't tonight.
james		What's going on?
laura		 I just can't, James.  I can't do it.
johnny		Happy Birthday, Johnny.
leland		Happy Birthday, Johnny.
johnny		Happy Birthday, Johnny.
jerry		Happy Birthday, Johnny.
ben		Why did we have to have the party here in my office?
sylvia		Because Johnny wants it in your office. What's so "private" "private" about your office, anyway?  Why can't we have the party in your precious office?
jerry		It's a lovely place for a party, Ben.  And look at the new decorations Johnny's provided.
johnny		Happy Birthday, Johnny.
leland		 Don't you have a picture of Audrey, Ben?
sylvia		Don't you have a picture of your own daughter, Ben?  Where's Johnny's picture?  And where's _my_ picture I gave you?
ben		At the photographer's studio getting a gold frame with floral monograms of your birthday and our wedding vows.
johnny		Happy Birthday, Johnny.
ben		 Happy Birthday, Johnny.
jerry		Johnny, Johnny...  let your Daddy and your Uncle and Leland talk.  Ben...  Leland, we can play the French against the Norwegians.  What do the French love more than anything?
leland		 Boating?
jerry		No.
leland		Hiking?
jerry		No.
leland		Eating?
jerry		You'd think so.
leland		Sex?
jerry		You're getting warmer.
leland		Trees?
jerry		Exactment.  They are nuts about wood. They get goofy over trees.
sylvia		I've never heard anything like this before.  The French liking wood anymore than anyone else likes wood.  Are you three crazy?
leland		Sarah's cousin is French and she can't stop talking about the trees around here.
