****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
rosen		 Why don't we continue this on Thursday.
walter		 I want to be normal!
rosen		Then go see a therapist who will tell you you're normal!
walter		Fuck you, Rosen!
rosen		I know --
walter		You don't know!
rosen		I know you're frustrated, Walter, but --
46.		CONTINUED:
47.		CONTINUED:
walter		Fine thanks.
walter		Excuse me. Got another load coming in.
48.		CONTINUED: She prunes dead leaves from one of them, then pauses looking at the leaves in her hands.
vicki		Don't die on me, you little shit.
vicki		You want to go for a ride?
vicki		What was prison like?
49.		CONTINUED:
walter		 Y ou don't really --
vicki		Yes! I want to know.
walter		Prison is... time.
vicki		You mean the time you're locked away?
walter		No. Prison is time. That's it. You think time, you feel time, you hear time. Your heart doesn't beat to live, it just beats... time.
vicki		I'm sorry, Walter.
walter		 Don't be sorry for me. I did those things. No one else did. I'm dealing with that.
vicki		My father took me fishing here when I was a kid. He could name every fish in the lake. And for every fish he named, he had a fishing story. I hated fishing, but I loved his stories.
walter		Sounds like a special guy.
50.		CONTINUED: 
vicki		My father was an alcoholic who drank himself right into the grave.
walter		I've changed.
vicki		Why young girls, Walter?
walter		 Their power. They seduce me.
vicki		They seduce you?
walter		I was always the one seduced.
vicki		You really believe that?
walter		 No. That's what I used to tell myself.   V
vicki		And what do you tell yourself now?
51.		CONTINUED: 
walter		Nothing. It's over.
vicki		Bullshit.
walter		Okay. Then take me home.
vicki		I want you to change my mind!
walter		I had this plan once... or maybe it was a dream. I was going to quit the building business... open my own shop. Make and design fine country furniture. I had saved enough money. I found the perfect place. Cheap five-year-lease. The loan was in the bag. My wife was a hundred percent behind it. Everything was set... Then I got in trouble.  Do you know what the worst kind of trouble is?
52.		CONTINUED: 
walter		gently) You know, this is crazy.
vicki		What?
walter		Being here, with me.
53.		CONTINUED:
vicki		I know.
walter		 Most people say the odds are against me.
vicki		What odds?
walter		The percentages --
vicki		Well, most people are stupid. pause) You want to talk about odds? One day I'll tell you how I survived as the youngest in a family of three sons. You wanna talk about odds?
walter		Why not tell me now?
vicki		I got poked around... here and there.
walter		Which brother did this?
vicki		All three -- in chronological order.
54.		CONTINUED: 
walter		You must hate your brothers.
vicki		I love my brothers.
walter		No you don't.
vicki		I love all of them. They're strong, gentle men with families of their own. And if you asked them about what they did to me, they'd call you a fucking liar and then beat the shit out of you.
walter		You never asked them about it?
vicki		 Are you serious?
walter		Not ever?
vicki		Not ever. V
55.		CONTINUED:
lucas		Hiya, Walter.
walter		Cop.
man		Sergeant Lucas.  May I come in?
walter		You are in.
lucas		So I am. But I always like to ask.
walter		What's up?
lucas		Have a seat.
walter		I have no idea.
lucas		I think you do.
walter		Why don't you just tell me?
56.		CONTINUED: 
lucas		Then you won't mind if I look around.
walter		I would.
lucas		Got something to hide?
walter		Doesn't everybody?
lucas		I could get a search warrant.
walter		If you could, you would have brought one today.
lucas		Cherry?
walter		Yeah.
lucas		Unusual design for a contemporary piece.
walter		It's not for sale.
lucas		Who said I wanted to buy it?
57.		LUCAS Seems there's been a number of attacks on young girls in the vicinity. Kind of a coincidence, wouldn't you say? W
walter		If you tell me when this happened --
lucas		Move your fucking hands away from your pockets!
walter		You can't talk to me like --
58.		LUCAS I could say you jumped when I came in. Who are they going to believe? Not you, because you'd be a dead piece of shit.
walter		 Okay.
59.		CONTINUED:
60.		CONTINUED:
walter		No, I'm --
walter		I don't know.
rosen		What did you think would happen?
walter		I don't know.
rosen		What did you want to happen? W
walter		I don't know!
61.		CONTINUED:
rosen		Is this the first one?
walter		Of course it is! That's why I'm telling you!
rosen		I want you to calm down.
walter		I want to talk about it now.
62.		CONTINUED: 
rosen		We'll talk about it more on Thursday.
walter		Remember when you asked me what my idea of "normal" was? R
osen		 Go home, Walter.
walter		Now I know. It's when I can see a girl, be near a girl, even talk to a girl... and walk away.  That's my idea of being normal.
walter		Maybe this isn't a good idea.
vicki		What?
walter		 Us seeing each other.
63.		CONTINUED:
vicki		You're scared.
walter		I'm not scared. V
vicki		Neither am I.
walter		Maybe you should be.
vicki		Well, Walter, I got an idea of my own.
walter		 Live together.
vicki		Move in with me.
walter		It's a bad idea.
vicki		I think it's a fucking good idea.
64.		CONTINUED: 
walter		I don't even know how to live with myself.
vicki		Just think about it.
walter		I've got problems.
vicki		Who doesn't?
walter		Most people don't have my kind of problems.
vicki		Guess that makes you pretty special.
walter		That's not what I meant.
vicki		Fine. V
walter		hat's this?
vicki		What's it look like?
walter		I don't need a plant.
vicki		Everyone needs a plant. This ivy is one tough baby. It's a cutting from one of mine.
walter		Thank you.
vicki		You're such an asshole.
66.		CONTINUED:
walter		 I'm not scared.
vicki		Prove it.
walter		Hey.
walter		Fine thanks. How are you, Mary-Kay?
walter		 I got plans.
68.		CONTINUED:
osen		You're very late.
walter		Sorry.
rosen		Please don't do it again.
walter		I said I was sorry.
rosen		I can't move my patients around to accommodate one person.
69.		CONTINUED:
walter		You mean my problem?
rosen		If by "problem" you mean your desire for prepubescent girls, yes.
walter		I don't know.
rosen		That's not a helpful answer.
walter		That's my answer.
rosen		lose your eyes.
walter		What?
rosen		I'd like you to close your eyes.
walter		Why?
rosen		To relax.
walter		 I'm relaxed.
rosen		Close your eyes and let your mind be blank.
walter		Hey, Rosen, you going to hypnotize me?
70.		CONTINUED: 
rosen		No, I am not going to --
walter		 Okay. Eyes closed, mind a blank. I'm all yours. Do it, Rosen.
rosen		When I say the word "girl" what is the earliest image that you can remember?
walter		Nothing. Can I open my eyes?
rosen		No. When I say the word "pretty," when I say the word "pleasure," what is the earliest memory you see?
walter		I don't see --
rosen		In your mind, Walter. Take your time.
walter		 I see my sister.
rosen		Where is she? What is she doing? ow old --
71.		CONTINUED: 
walter		 Not so fast.
rosen		Sorry.  Where is she?
walter		In my bedroom, sleeping.
rosen		Where?
walter		In my bed, Rosen. Where do you think?
rosen		Where are you?
walter		In my bed too.
rosen		How old are you and your sister?
walter		We're little kids.
rosen		But roughly, how old?
walter		I'm maybe about six... which would make her four.
rosen		And what are you doing?
72.		CONTINUED: 
walter		Just lying there.  We're taking a nap.
rosen		A nap?
walter		Yes, a nap. Kids do that. You ever take a nap, Rosen?
rosen		Did you and your sister often take naps together?
walter		 I want you back in your chair! Right now!
rosen		All right.
walter		I don't like nobody behind my back!
rosen		I'm sorry. I shouldn't have been there.
73.		CONTINUED: 
walter		Nothing.
rosen		Did you touch her? Did you take off her clothes? Did you take off your clothes?
walter		This is garbage!
rosen		I'm only asking questions.
walter		Okay I'll tell you what I did -- just to shut you up!  I smelled her hair.
rosen		What else?
walter		That's all. I just liked smelling her hair.
rosen		You felt pleasure.
walter		 Yes.
rosen		Did you get an erection?
74.		CONTINUED: 
walter		 I was six years old!
rosen		I meant later... when you two took naps.
walter		It was a small house.
rosen		All right. A small house... with small rooms.
walter		 I smelled her hair. That's it. I just liked smelling her hair.
carlos		I've got some good news.
walter		What's that?
75.		CONTINUED:
carlos		Annette will see you.
walter		When?
carlos		Soon.
walter		Next week? The week after?
carlos		Early July.
walter		Tell Annette I'm busy in July.
carlos		C'mon, Walter.
walter		You should see my appointment book. It got crazy. C
carlos		It's not what you think.
76.		CONTINUED: 
walter		Isn't it?
carlos		The important thing is that you and Annette need to talk. She needs to see you, and you need to see her.
walter		 I'm not a monster.
carlos		You're a good man, Walter. Okay, you did some wrong things, but inside you're a good, decent man.
walter		Maybe I'm not a good man. Maybe inside I'm bad, and I'll always be bad.
carlos		on't talk like that.
walter		You don't have to tell me this.
77.		CONTINUED: 
carlos		I'm just talking, man.
walter		Carlos, I never raped a woman.
carlos		I know. I'm just saying I understand.
walter		Maybe because you're looking her in the face.
carlos		I see a pretty woman, I look. That's the price of beauty, my friend. My god, you should see what Anna's friends wear.
walter		Carlos, can I ask you something?
carlos		Sure.
78.		CONTINUED: 
walter		 N othing.
carlos		Ask me. Ask me anything.
walter		 Did you ever... Do you have feelings for Anna?
carlos		What do you mean?
walter		I mean... feelings.
carlos		Listen, man. I don't got your sick problem, and if you or anybody else ever comes near my daughter, I'll kill you.
79.		CONTINUED:
vicki		Walter...
walter		Don't touch me... please.
80.		CONTINUED:
81.		CONTINUED: 
vicki		What are you doing?
walter		Don't do that.
vicki		Do what?
walter		Sneak up behind me like that.
vicki		What's your fucking problem?
walter		Why's it always my fucking problem?
vicki		What's going on?
walter		Nothing.
82.		CONTINUED:
vicki		Do you want to talk about it?
walter		I need a shower.
83.		CONTINUED:
girl		Hello.
walter		Birds.
girl		 There's a million birds here.
walter		In that birch tree is a nest.
girl's voice		 Where?
walter		 Up there.
girl		There's little chicks!  You want to see?
walter		Sure.
84.		CONTINUED: 
girl		They're starlings.
walter		 Is that right?
girl		I don't like starlings.
walter		Why not?
girl		They're extremely aggressive birds. Plus, their habits are rather filthy.
walter		The mother sure has her hands full.
girl		When I go bird-watching. It's why I like coming here.
walter		It's just a city park.
girl		You'd be surprised how many kinds of birds you'll see here. Last week I saw a purple martin. And the week before that, I saw a solitary vireo. That's rare.
walter		A solitary vireo. I like that one.
girl		Their sound is quite musical.
85.		CONTINUED: 
walter		How does it sound?
girl		It's hard to describe.
walter		Try.
girl		I can't.
walter		I bet you can.
girl		 It's a bright sound.
walter		G That was terrific.
irl		You should hear the bird.
walter		You live around here?
86.		GIRL Are you a bird-watcher too?
walter		Me? Nah. I'm more of a people watcher.
girl		Were you watching me?
walter		 Not   at first. You would stare at the   tops of the trees so intently. Any   second I thought you would take off   and fly.
girl		I have to go.
walter		Do you come here often?
irl		My daddy likes me home before dark.
walter		It's good to listen to your daddy.
87.		CONTINUED:
walter		 Fucking Rosen! This isn't helping.
lucas		Hiya, Walter.
walter		What can I do for you, Sergeant Lucas?
lucas		Have a seat.
88.		CONTINUED:
walter		What?
lucas		Your ivy. Too much direct sunlight. These plants don't like a lot of sun.      W
walter		They grow outside, don't they?
lucas		Sure they do. But outside they've got trees around them. The trees shade them from the sun. Of course, the plants enrich the soil around the trees. One of nature's symbiotic relationships.
walter		You going to take me on a nature walk?
lucas		Don't be witty.  Yesterday you took the number twelve bus from work, but instead of getting off at your normal stop, for some reason you stayed on. Why did you stay on the bus, Walter?
walter		I fell asleep.
89.		CONTINUED: 
lucas		You walked home.
walter		Yes.
lucas		Some of these guys... They walk right into a family's home as if they live there. Very fucking ballsy.
walter		Fairy tales?
lucas		Do you believe in them?
90.		CONTINUED: 
walter		No.
lucas		Neither do I.  What's the one with the woodsman?
walter		Woodsman?
lucas		The one with the ax?
walter		I don't know.
lucas		Sure you do. He cuts open the wolf's stomach, and the girl steps out alive.
walter		Little Red Riding Hood.
lucas		That's it. Little Red Riding Hood jumps out of the wolf's guts with hardly a scratch.  Ever see a seven-year-old girl sodomized almost in half?
91.		CONTINUED: 
walter		You knew her?
lucas		What?
walter		The girl.
lucas		 I don't know why they keep letting scum like you return to the streets. It just means we've got to catch you all over again.
walter		You have no right to talk to... to speak like... I am not!... I am not!
irl		Wallie, what are you doing?
92.		CONTINUED: 
vicki		 Come on, let's get out of here.
pedro		Don't tell me you feel sorry for this sick fuck.
vicki		Mind your own business, Pedro!
93.		CONTINUED:
bob		What the hell is going on here?!
vicki		Have you seen Walter?
bob		What the hell is going on? V
vicki		If she's here tomorrow, I'll fucking kill her.
vicki		Shit.
vicki		Thanks again. I promised I'd take care of his plants.
96.		CONTINUED:
97.		CONTINUED: Children abound, playing, running free, getting off of school buses, running to meet their parents. There is no sign of Walter.
girl		See anything interesting?
walter		Not yet.
girl		It's my bird book.
walter		Where are your friends?
girl		I have friends.
98.		CONTINUED:
walter		A pretty girl like you should have a lot of friends.
girl		I'm not pretty.
walter		Well... not in the common way.
girl		What does that mean?
walter		It means uncommon beauty is commonly overlooked. Most people only notice birds with the brightest colors.
girl		 Robin.
robin		Yeah, like the bird.
99.		CONTINUED: 
walter		 Can I ask how old you are?
robin		I'm twelve.
walter		No you're not.
robin		I will be in three months.  I can't wait. I hate being eleven. It has to be the stupidest age in the world.
walter		Walter.
robin		Do you have many friends?
walter		No.
robin		How come?
walter		A long time ago, I was sent far away. When they let me come back, all my friends were gone.
robin		It sounds like you were banished.
walter		Banished... yeah.
100.		CONTINUED: 
robin		Birds are my friends. That sounds egotistical, but they are. Birds know I watch them, but they don't mind because they like being watched... if they know you won't hurt them.
walter		Robin?
robin		Yes?
walter		Would you like to sit on my lap?
robin		What?
walter		Would you like to sit on my lap?
robin		 No thank you.
walter		Are you sure?
robin		I'm sure. Thank you all the same.
walter		That's okay... doesn't matter.
robin		 Do you want me to sit on your lap?
walter		Yes. I would enjoy that.
101.		CONTINUED: 
robin		 They sound like finches.
walter		They could be finches. I don't know. We should go before it gets dark.
robin		My daddy lets me sit on his lap.
walter		Does he?
robin		Yes.
102.		CONTINUED: 
walter		Do you like it when he asks you?
robin		No.
walter		Why not?
103.		CONTINUED: 
robin		Ms. Kramer.
walter		Tell Ms. Kramer what your daddy does.
robin		I can't.
walter		Yes you can, Robin.
robin		What will happen if I do?
walter		Someone will talk to your daddy. And then he'll stop doing those things... the things you don't like.
104.		CONTINUED: 
robin		But will he... ?
walter		Your daddy will always love you.
robin		How do you know?
walter		I know because... it's just something I know.
robin		I don't want to hurt my daddy.
walter		Robin, listen to me.
robin		Walter?
walter		Yes?
robin		Do you still want me to sit on your lap?
105.		CONTINUED: 
walter		No.
robin		I don't mind.
walter		You should go home.
robin		Can't I stay a little longer?
walter		It's getting dark. Go home.
robin		Will I see you again?
walter		Go home, Robin.
robin		Bye.
106.		CONTINUED:
walter		Hey!
walter		It's open.
lucas		Hi ya, Walter.
walter		What can I do for you, Sergeant Lucas?
lucas		You don't know?
walter		Know what?
lucas		I'll be asking the questions.  Last night, you hear anything unusual? Screams? Shouts?
walter		No.
110.		CONTINUED:
lucas		man was badly beaten across the street. You know anything about that?
walter		I was asleep.
lucas		 I didn't say what time the assault occurred.
walter		You said last night. I went to bed pretty early.
lucas		The assault took place at approximately seven thirty.
walter		I went to bed around seven.
lucas		I could take you downtown.
walter		You could. It'd be a waste of your time, though.
lucas		There was a boy there.
111.		CONTINUED: 
walter		I suppose if you're looking for a male between the ages of thirty and fifty, medium height, medium weight, medium build. Probably not too many men fit that bill.
lucas		Just give me a straight answer, Walter, cause the irony goes right over my head.
walter		I have a passionate girlfriend.
lucas		What's with the boxes?
walter		You're a cop. Figure it out.
lucas		I'd say you're moving.
walter		It's a free country, isn't it?
112.		CONTINUED: 
lucas		The passionate one?
walter		Yes.
lucas		Then I'd say you're a lucky fellow.
walter		I count my blessings.
lucas		Well, I guess I'll be seeing you.
walter		Think you'll catch this guy?
lucas		Oh, yeah. We'll catch him. Unfortunately, the victim can't talk. In addition to his other injuries, his jaw is broken.
walter		`Fraid not.
113.		CONTINUED: 
lucas		Stay out of trouble, Walter. Cause I'll be watching you.
vicki		You okay?
walter		Yeah.
vicki		Fucking liar.
walter		I heard they were filthy birds.
vicki		Not when they fly.
114.		CONTINUED:
walter		It was hard.
115.		WALTER CONTINUED: I understand that. I do. I just hope... I just want her to...
rosen		Accept you?
walter		 Time.
rosen		How do you feel about that?
walter		I feel... okay.
****Dialogues from script :World_is_not_Enough.txt****

lachaise		Not the usual Swiss procedure, Mr. Bond, but you understand, a man in my position..
bond		Which is neutral, no doubt.
lachaise		It wasn't easy, but I retrieved the money.  No doubt Sir Robert will be pleased to see it again.
lachaise		In the current exchange rate, minus the fees, of course, and certain unforeseeable expenses. Here is the receipt...
cigar girl		Would you like to check my figures?
bond		Perhaps later.
bond		My glasses.
lachaise		It's all there.
bond		I didn't come for the money. The report you sold him was stolen from an MI-6 agent, who was killed for it.
lachaise		I did not get the report from an MI-6 agent.
bond		Who did you get it from?
lachaise		I am just a middle man. I am doing the honourable thing and returning the money to its rightful owner...
bond		And we know how difficult that can be for the Swiss.
lachaise		 Your last chance. Take the money.
bond		Your last chance. Give me the name.
lachaise		Stripped of all your weaponry, you still threaten me?
bond		Perhaps you failed to take into account my...hidden assets.
bond		The name?
lachaise		I can't tell you...  Alright, alright! But you must protect me!
renard		What's his name? Our friend from MI-6?
cigar girl		James Bond.
renard		One of M's more accomplished tin soldiers.
cigar girl		He could identify me.
renard		If it concerns you...kill him.
renard		Let's toast this James Bond.  We're in his hands now...
bond		Have this checked, see what you can get off it.
moneypenny		James.  Brought me a souvenir from Geneva?
bond		Thought you might want one of these.
moneypenny		 She's in with Sir Robert.
sir robert		Thanks for getting my money back --never expected to see it again.  You're the kind of man I could use.  Though I won't offend certain parties by asking you to join King Industries.
bond		Construction's not exactly my line.
bond		Old friend?
bond		Who buys classified reports for three million pounds.
bond		Someone was watching over me in Geneva. A guardian angel with a laser sight.
bond		King.
moneypenny		 Security --
sir robert		Thanks, but I'll count it myself.  Lifetime habit.  I'm Scottish.
bond		Stop!  King!
woman		Beautiful, isn't it?
bond		Yes.
woman		Today, of all days, the sun decides to shine.
bond		Perhaps Sir Robert had a word with the Man Upstairs.
woman		A word? I'm sure by now he's engineered a hostile takeover.
bond		You knew him well?
woman		He was my father.
bond		I'm sorry.
woman		He died before he could complete his lifelong dream.  I intend to finish it for him.
older man		Elektra!
elektra		Excuse me.
bond		She's not a girl anymore.
bond		It's barely a scratch. The Dome broke my fall.
doctor greatrex		Dislocated collar bone.  If any more tendons snap...  It won't just be two weeks out of action.
bond		I need you to pass me fit now, Molly.
bond		It's just a scratch.
doctor greatrex		James.  It wouldn't really be...
bond		Ethical?  Can't we just skirt the issue?
doctor greatrex		...if you showed sufficient...willpower. Promised to slow down.  Cut out running, jumping...shooting.  All kinds of...
bond		Strenuous activity?
doctor greatrex		Then maybe I'd be... open to that.
bond		 Perhaps after this ... test?
doctor greatrex		...yes?...
bond		I could come for a second opinion?
tanner		...The money was dipped in urea, dried, and packed tight. In one note the metal strip had been replaced with a combustible magnesium circuit -- in effect a tiny detonator. King always wore a pin in his lapel, an heirloom called 'the Eye of the Glens'; but someone switched it for a copy, a ceramic micro- circuit emitting an electronic signature.
tanner		When he came within range of the money -- boom.  Ingenious.
tanner		And expensive.  Cost three million plus.
bond		Caviar capital of the world. Matchless beluga. Firm, yet subtle.  Largest landlocked body of water on Earth.  Oil-rich.  Hitler wanted it. Stalin beat him to it.
robinson		Latest estimates, six trillion dollars. It'll make the Gulf look like a puddle, see us right through the new century. The problem is getting the oil out of there.
bond		So Sir Robert's goes through Turkey, direct to the Med...?
robinson		A huge project. The most expensive of the pipelines, but the one supported by every Western leader. None of the American oil companies were willing to take it on. But King has connections to the region. He married into the Vavra family, rich local industrialists. He used those connections to hold it all together.
bond		Kill the man, kill the pipeline.
tanner		Your call to the PM.
newscaster		...somehow managed to shoot two of her captors and escape...
voice		... the leader, the one who escaped.  Can you describe him?
elektra		He shouted.  He shouted all the time --
bond		Tell me about the kidnapping of Elektra King.
bond		I took the initiative.
bond		I was the one who brought that money in...
bond		The amount of money that killed Robert King is the same amount as the ransom demand for Elektra.
bond		Whoever kidnapped Elektra is the same man who killed her father.
bond		Who?
bond		 Renard.
bond		Sacrifice the girl to take out the terrorist?
bond		He survived?
bond		'That which does not kill me makes me stronger.'
bond		He's not through yet. Renard doesn't blow up five million dollars unless he knows there's more coming in. He's working for someone. Someone who wants to stop the pipeline.  And they hired the perfect killer. One with a vendetta against King...and you.
moneypenny		He's always been good at oral exams.
bond		The worm on the hook again.
bond		Scottish heavy metal, Q?
bond		And other uses, no doubt.
bond		 That would make you..."R"?
davidov		 Bond. A government man. I'm afraid since you English got the boss killed we've been a little...jumpy.
bond		 I'd rather you didn't play with that.
davidov		Nice.
bond		Quite stunning.
davidov		 Sorry about all that, comrade. Old habits die hard. I am Head of Security. Davidov.
elektra		 ...they should have been in place two days ago. That is the target my father set.
foreman		We've had some trouble with the villagers at Ruan. Some sacred burial plot...
davidov		Miss King...James Bond here to see you.
elektra		Find me the research on the limestone deposits, go ahead and place these orders, and get the jeep ready. I will go to Ruan myself...
davidov		Miss King, I wouldn't recommend...
elektra		I said, I will go.
elektra		Would you excuse us, Davidov?
elektra		I met you at my father's funeral.
bond		Yes.
elektra		I haven't been able to recall a single moment of that day...until now.
bond		Funerals aren't exactly memorable.
elektra		God no. All those horrible loved ones and relatives. I don't want to talk to those people. I just want to...talk to my father.  I loved him.  I'm not sure he knew that.
bond		Is that why you want to finish the pipeline?
elektra		Partially, yes.
gabor		The jeep is ready, Ma'am.  Will I be driving with you?
elektra		No, Gabor. We have a guest.
bond		Who is he?
elektra		My bodyguard. He follows me everywhere. He's decisive, vigilant.  And he makes an excellent omelette.
bond		How long has he been with you?
elektra		Since the kidnapping. Why do you ask?
bond		Does this look familiar to you?
elektra		It's my father's pin. He wore it everyday of his life.
elektra		Are you trying to break my heart? Or is it just your way with women?
bond		It's not the pin your father wore. It's an exact duplicate. Inside is a tiny electrical detonator. We have reason to believe the assassin had an inside accomplice, someone who worked at this company.
elektra		If you've come here to look after me, Mr. Bond, thank you, but no thank you.  I have two bodyguards, I don't need a third...
bond		The killer doesn't want to see this pipeline continue, doesn't want to see you take over...
elektra		That's every man within a five mile radius.  Including you.  That's why you're here, isn't it? You think I can't do it. You think I'm going to screw up. Or get myself killed.
bond		I think running this pipeline would be a difficult job for anyone. Especially King's daughter.
elektra		You are wrong, Mr. Bond. In fact, I am the only person who can do it.
elektra		My mother's people discovered oil here ninety years ago.  The Bolsheviks slaughtered them for it.  Will be one of the main arteries...
elektra		Send the pipe around.
foreman		It will take weeks, cost millions. Your father approved this route.
elektra		Then my father was wrong.
elektra		I have to check the upper lines.  Gabor will drive you back.
bond		Always wanted to see the upper lines.
elektra		You don't take no for an answer, do you?
bond		No.
elektra		Alright then. Do you ski?
bond		I've been known to.
pilot		Can't land.  Wind's too strong!
elektra		Just hold her steady.  You wanted to see it.
elektra		We're building from both ends.  This is where they'll meet.  Fifteen hundred miles from the Caspian to the Mediterranean.
bond		Head for that gully, I'll lure them into the trees!
bond		 Should have stuck to snowboarding.
elektra		Are they gone? All of them?
bond		Hold on to me.
elektra		Oh my God...we're buried alive...
bond		We're alright.
elektra		I can't stay here.
bond		You're not going to.
elektra		No!  It will cave in!
bond		It's the only way out...
elektra		I can't breathe, I can't breathe...
bond		Elektra, look at me, look in my eyes!
doctor		She's fine. Contusions. A slight strain to her ankle, but otherwise, fine.  She wants to see you.
elektra		Are you alright?
bond		I can't stay.
elektra		I know.
elektra		I need to ask you something.  And I need you to tell me the truth.
elektra		Who is it? Who is trying to kill me?
bond		I don't know. But I will find him.
elektra		After the kidnapping...I was afraid to go outside, to be alone, to be in a crowd, to do anything at all, until I realized...  There's no point in living if you can't...feel alive.
elektra		I can't huddle in the shadows. I can't let fear run my life.  I won't.
elektra		The way I acted, in the snow...you must think I'm a coward.
bond		I think you're one of the bravest people I've ever met.
elektra		What is it?
bond		...you should rest.
elektra		James...
bond		I have to go.
elektra		Then take me with you.
bond		No. You'll be safe here.
elektra		I don't want to be safe!
bond		I have to go to work.
elektra		Now who's the coward?
bond		Valentin Zukovsky.
zukovsky		BondJamesBond. What brings you here?
bond		You, of course. I need some information.
zukovsky		Bond, I'm a civilian. This is my place. Used to be the royal family's, now it's mine. I run my little business, I stay out of trouble...
bond		 Mafia warlords, Diplomats and spies, consortiums from every country in the world.  A nice little rat's nest.
zukovsky		 Have some of the rat's nest caviar.  From my own fishery.  They buy my caviar, drink my champagne, lose to my House.
zukovsky		Let me introduce you to a former colleague of mine at the KGB. Dmitri Palov, you may know him as...the Boa.
boa		The great 007. For years I have dreamed of closing my hands around your neck.
bond		Boa. Have you had any therapy since Perestroika?
zukovsky		Why am I suddenly worried I'm not carrying enough insurance?
zukovsky		See?  You're upsetting my customers. What do you want?
bond		How does a terrorist like Renard supply his men with state-of-the-art Russian Army weapons?
zukovsky		What?  This is not possible.
bond		If I remember my Cyrillic that says 101st airborne division.
zukovsky		Where did you get this?
bond		Off a high-powered Paraski that was trying to kill me.
zukovsky		The Russian Army, they spend millions on flying skis, but they cannot afford to pay the soldiers. The men, they do what they have to do to feed their families. In this country, for the right price and a pack of cigarettes, you can get anything you want.
zukovsky		That too. Everyone does what they can to survive.
bond		How high up does this...arms dealing go?
zukovsky		Bond. If someone wants you dead, it is Renard. Our government has nothing to gain by killing you.
bond		But you would have something to gain by killing Robert King. And stopping his pipeline.
zukovsky		Poor Bond. The cold war is over.  What have you got left? Economic espionage. Murder in the boardroom.  So dull.
bond		Oh, you'd be surprised.
zukovsky		We've kept your father's chair free.
elektra		And his account?
zukovsky		You have a credit line of a million and a half.
elektra		Vodka martini.
bond		Two. Shaken not stirred.
bond		What the hell are you doing here?
elektra		 What are you doing here?  Looking for a woman a little more your type? How about that one?
bond		If this little show is for my benefit, I'll take you home right now.
elektra		You had your chance, James. Now I'm looking for a bigger thrill.
hooker		You want to be...on top, or not on top?
davidov		On top.
hooker		Tied up, or not tied up?
renard		Dead, or not dead?
bond		I understand it's normally good practice to get the feel of the cards before going off the deep end.
elektra		Really?
dealer		Bust.
elektra		I like the deep end, James.
renard		Is this how you spend the money I pay you? And with the rest you hire fools who shoot like blind men?
davidov		 Bond...
renard		Should be dead as well. Your failure today is astonishing.  It is a disgrace.
renard		Do you know why the color is blue at the wick?
renard		Because that is where the flame is the hottest.
renard		The temperature is close to five hundred degrees.
davidov		The plane...it's all been arranged...
renard		Then you are completely unnecessary...
davidov		I have the documents, the landing authorizations, the security passes...
renard		Bond is suspicious. We are moving sooner, tonight.  We understand each other?
davidov		Yes...yes...
bond		Stand or split them.
elektra		Surely you believe in living dangerously.
bond		Not at that price. Time to surrender.
dealer		The House has no limit.
elektra		 Hit me.
elektra		Time to surrender.
davidov		A little accident.
bond		A night of burning passion?
henchman		Sir?  Sir?
renard		 I will take care of Mister Bond.
elektra		You knew when you first saw me.  You knew it would be like this.
bond		Shush.
elektra		Poor shoulder. Looks painful...
bond		...needs constant attention...
bond		Enough ice for one day.
bond		You never take this off?
elektra		Why do men always want to undress the one part of a woman's body she doesn't want to reveal?
bond		How did you survive?
elektra		I used my body on the guards.  It gave me control. I got to a gun and I took my chance.  I've never told anyone that.
elektra		Do you ever stop, James?  Do you ever think about...another kind of life?
bond		I can't afford to.
elektra		Don't worry. I know who you are.
bond		Problem, comrade?
bond		Old habits die hard.
bond		Here goes nothing.
bond		Romashka.
pilot		 You have fifteen minutes.
colonel akakievich		 You are late. The transport documents?
colonel akakievich		 They are waiting for you below.  It should be ready. Check with the IDA physicist.
colonel akakievich		Not interested in men. Take my word for it.
christmas		You new?
bond		 Yes. Viktor Davidov, Miss...?
christmas		Doctor. Jones. Christmas Jones. No jokes, I've heard them all.
bond		Don't know any doctor jokes.
christmas		What happened to Len Tashka?
bond		Couldn't make it. Splitting headache.
christmas		The soldiers may give you a hard time. Whatever. If we weren't around, they'd have their whole nuclear arsenal lying by the roadsides, rotting in the sun.
bond		Will I need protection?
christmas		There's no radiation danger down there.
christmas		 Where is this stockpile going?
soldier		 See the corporal, at the end of the chamber.
bond		Corporal?
renard		I see my friend Davidov ran into some difficulty.
bond		Indeed.
bond		Don't come any closer.
man		You can't kill me. I'm already dead.
renard		Go ahead.  Shoot.  My men will still steal the bomb, and the shot will bring them directly to you.
bond		Who's paying you to destroy the pipeline?
renard		To die by a man who can't even grasp what he's caught up in...
bond		Revenge isn't so hard to fathom. What's clever is getting someone else to pay for it.
renard		Not many people in this world have that kind of fortune.
bond		Who is it?
renard		You think I fear death? I welcome it. I get on my knees and pray for it. You, on the other hand, you have something to live for, no?  She's beautiful isn't she? You should have seen her before. Flawless, and still so innocent, not such a whore in bed...
bond		You will never touch her. You will never get near her.
renard		Have you forgotten who saved your life in Geneva?
bond		Consider me ungrateful.
renard		It's I who should thank you -- for taking that money back to MI-6.  So distressing for M.  An explosion inside her lair.
bond		She'll get over it.
